pollster,numeric_grade,pollscore,state,end_date,candidate_name,sample_size,pct,num_harris
Quinnipiac,2.8,-0.5,Michigan,2024-10-21,Kamala Harris,1136,49,557
Quinnipiac,2.8,-0.5,Michigan,2024-10-21,Kamala Harris,1136,50,568
Quinnipiac,2.8,-0.5,Wisconsin,2024-10-21,Kamala Harris,1108,48,532
Quinnipiac,2.8,-0.5,Wisconsin,2024-10-21,Kamala Harris,1108,48,532
Emerson,2.9,-1.1,Florida,2024-10-20,Kamala Harris,860,45.9,395
AtlasIntel,2.7,-0.8,Arizona,2024-10-17,Kamala Harris,1440,48.6,700
AtlasIntel,2.7,-0.8,Arizona,2024-10-17,Kamala Harris,1440,49.3,710
AtlasIntel,2.7,-0.8,Georgia,2024-10-17,Kamala Harris,1411,48.1,679
AtlasIntel,2.7,-0.8,Georgia,2024-10-17,Kamala Harris,1411,48.4,683
AtlasIntel,2.7,-0.8,Michigan,2024-10-17,Kamala Harris,1529,46.8,716
AtlasIntel,2.7,-0.8,Michigan,2024-10-17,Kamala Harris,1529,47.3,723
AtlasIntel,2.7,-0.8,Nevada,2024-10-17,Kamala Harris,1171,48.1,563
AtlasIntel,2.7,-0.8,Nevada,2024-10-17,Kamala Harris,1171,48.4,567
AtlasIntel,2.7,-0.8,North Carolina,2024-10-17,Kamala Harris,1674,49.5,829
AtlasIntel,2.7,-0.8,North Carolina,2024-10-17,Kamala Harris,1674,50.5,845
AtlasIntel,2.7,-0.8,Pennsylvania,2024-10-17,Kamala Harris,2048,46.5,952
AtlasIntel,2.7,-0.8,Pennsylvania,2024-10-17,Kamala Harris,2048,47.4,971
AtlasIntel,2.7,-0.8,Wisconsin,2024-10-17,Kamala Harris,932,48.9,456
AtlasIntel,2.7,-0.8,Wisconsin,2024-10-17,Kamala Harris,932,49,457
Emerson,2.9,-1.1,California,2024-10-14,Kamala Harris,1000,61,610
Quinnipiac,2.8,-0.5,Georgia,2024-10-14,Kamala Harris,1328,45,598
Quinnipiac,2.8,-0.5,Georgia,2024-10-14,Kamala Harris,1328,46,611
Quinnipiac,2.8,-0.5,North Carolina,2024-10-14,Kamala Harris,1031,49,505
Quinnipiac,2.8,-0.5,North Carolina,2024-10-14,Kamala Harris,1031,50,516
Siena/NYT,3,-1.5,Pennsylvania,2024-10-10,Kamala Harris,857,50,428
Siena/NYT,3,-1.5,Pennsylvania,2024-10-10,Kamala Harris,857,49,420
Siena/NYT,3,-1.5,Pennsylvania,2024-10-10,Kamala Harris,857,50,428
Siena/NYT,3,-1.5,Pennsylvania,2024-10-10,Kamala Harris,857,49,420
Siena/NYT,3,-1.5,Arizona,2024-10-10,Kamala Harris,808,46,372
Siena/NYT,3,-1.5,Arizona,2024-10-10,Kamala Harris,808,45,364
Siena/NYT,3,-1.5,Arizona,2024-10-10,Kamala Harris,808,45,364
Siena/NYT,3,-1.5,Arizona,2024-10-10,Kamala Harris,808,44,356
Emerson,2.9,-1.1,Arizona,2024-10-08,Kamala Harris,1000,48.2,482
Emerson,2.9,-1.1,Georgia,2024-10-08,Kamala Harris,1000,49.8,498
Emerson,2.9,-1.1,Michigan,2024-10-08,Kamala Harris,950,49.7,472
Emerson,2.9,-1.1,Nevada,2024-10-08,Kamala Harris,900,49.2,443
Emerson,2.9,-1.1,North Carolina,2024-10-08,Kamala Harris,1000,49,490
Emerson,2.9,-1.1,Pennsylvania,2024-10-08,Kamala Harris,1000,49,490
Emerson,2.9,-1.1,Wisconsin,2024-10-08,Kamala Harris,1000,49.2,492
Siena/NYT,3,-1.5,Montana,2024-10-08,Kamala Harris,656,39,256
Siena/NYT,3,-1.5,Montana,2024-10-08,Kamala Harris,656,38,249
Siena/NYT,3,-1.5,Montana,2024-10-08,Kamala Harris,656,40,262
Siena/NYT,3,-1.5,Montana,2024-10-08,Kamala Harris,656,39,256
Quinnipiac,2.8,-0.5,Michigan,2024-10-07,Kamala Harris,1007,47,473
Quinnipiac,2.8,-0.5,Michigan,2024-10-07,Kamala Harris,1007,47,473
Quinnipiac,2.8,-0.5,Pennsylvania,2024-10-07,Kamala Harris,1412,49,692
Quinnipiac,2.8,-0.5,Pennsylvania,2024-10-07,Kamala Harris,1412,49,692
Quinnipiac,2.8,-0.5,Wisconsin,2024-10-07,Kamala Harris,1073,46,494
Quinnipiac,2.8,-0.5,Wisconsin,2024-10-07,Kamala Harris,1073,47,504
Marist,2.9,-0.9,Florida,2024-10-07,Kamala Harris,1257,47,591
Marist,2.9,-0.9,Florida,2024-10-07,Kamala Harris,1410,47,663
Marist,2.9,-0.9,Texas,2024-10-07,Kamala Harris,1365,46,628
Marist,2.9,-0.9,Texas,2024-10-07,Kamala Harris,1186,46,546
Marist,2.9,-0.9,Ohio,2024-10-07,Kamala Harris,1511,46,695
Marist,2.9,-0.9,Ohio,2024-10-07,Kamala Harris,1327,46,610
Siena/NYT,3,-1.5,Florida,2024-10-06,Kamala Harris,622,41,255
Siena/NYT,3,-1.5,Florida,2024-10-06,Kamala Harris,622,40,249
Siena/NYT,3,-1.5,Florida,2024-10-06,Kamala Harris,622,41,255
Siena/NYT,3,-1.5,Florida,2024-10-06,Kamala Harris,622,40,249
Siena/NYT,3,-1.5,Texas,2024-10-04,Kamala Harris,617,44,271
Siena/NYT,3,-1.5,Texas,2024-10-04,Kamala Harris,617,42,259
Siena/NYT,3,-1.5,Texas,2024-10-04,Kamala Harris,617,44,271
Siena/NYT,3,-1.5,Texas,2024-10-04,Kamala Harris,617,41,253
Quinnipiac,2.8,-0.5,North Carolina,2024-09-29,Kamala Harris,953,47,448
Quinnipiac,2.8,-0.5,North Carolina,2024-09-29,Kamala Harris,953,48,457
Quinnipiac,2.8,-0.5,Georgia,2024-09-29,Kamala Harris,942,44,414
Quinnipiac,2.8,-0.5,Georgia,2024-09-29,Kamala Harris,942,45,424
Emerson,2.9,-1.1,Arizona,2024-09-28,Kamala Harris,920,47.6,438
Emerson,2.9,-1.1,North Carolina,2024-09-28,Kamala Harris,850,49.1,417
Emerson,2.9,-1.1,Pennsylvania,2024-09-28,Kamala Harris,1000,49.3,493
Siena/NYT,3,-1.5,Other,2024-09-26,Kamala Harris,680,51,347
Siena/NYT,3,-1.5,Other,2024-09-26,Kamala Harris,680,49,333
Siena/NYT,3,-1.5,Other,2024-09-26,Kamala Harris,680,52,354
Siena/NYT,3,-1.5,Other,2024-09-26,Kamala Harris,680,51,347
Siena/NYT,3,-1.5,Michigan,2024-09-26,Kamala Harris,688,45,310
Siena/NYT,3,-1.5,Michigan,2024-09-26,Kamala Harris,688,43,296
Siena/NYT,3,-1.5,Michigan,2024-09-26,Kamala Harris,688,48,330
Siena/NYT,3,-1.5,Michigan,2024-09-26,Kamala Harris,688,46,316
Siena/NYT,3,-1.5,Ohio,2024-09-26,Kamala Harris,687,45,309
Siena/NYT,3,-1.5,Ohio,2024-09-26,Kamala Harris,687,44,302
Siena/NYT,3,-1.5,Ohio,2024-09-26,Kamala Harris,687,44,302
Siena/NYT,3,-1.5,Ohio,2024-09-26,Kamala Harris,687,43,295
Siena/NYT,3,-1.5,Wisconsin,2024-09-26,Kamala Harris,680,49,333
Siena/NYT,3,-1.5,Wisconsin,2024-09-26,Kamala Harris,680,48,326
Siena/NYT,3,-1.5,Wisconsin,2024-09-26,Kamala Harris,680,49,333
Siena/NYT,3,-1.5,Wisconsin,2024-09-26,Kamala Harris,680,48,326
Emerson,2.9,-1.1,New York,2024-09-25,Kamala Harris,1000,55.5,555
AtlasIntel,2.7,-0.8,Arizona,2024-09-25,Kamala Harris,946,48.6,460
AtlasIntel,2.7,-0.8,Arizona,2024-09-25,Kamala Harris,946,48.6,460
AtlasIntel,2.7,-0.8,Michigan,2024-09-25,Kamala Harris,918,46.6,428
AtlasIntel,2.7,-0.8,Michigan,2024-09-25,Kamala Harris,918,47.2,433
AtlasIntel,2.7,-0.8,Nevada,2024-09-25,Kamala Harris,858,50.6,434
AtlasIntel,2.7,-0.8,Nevada,2024-09-25,Kamala Harris,858,50.5,433
AtlasIntel,2.7,-0.8,Pennsylvania,2024-09-25,Kamala Harris,1775,48,852
AtlasIntel,2.7,-0.8,Pennsylvania,2024-09-25,Kamala Harris,1775,48.1,854
AtlasIntel,2.7,-0.8,Wisconsin,2024-09-25,Kamala Harris,1077,48.2,519
AtlasIntel,2.7,-0.8,Wisconsin,2024-09-25,Kamala Harris,1077,48.2,519
AtlasIntel,2.7,-0.8,North Carolina,2024-09-25,Kamala Harris,1173,50.8,596
AtlasIntel,2.7,-0.8,North Carolina,2024-09-25,Kamala Harris,1173,50.5,592
AtlasIntel,2.7,-0.8,Georgia,2024-09-25,Kamala Harris,1200,49,588
AtlasIntel,2.7,-0.8,Georgia,2024-09-25,Kamala Harris,1200,49,588
Emerson,2.9,-1.1,Texas,2024-09-24,Kamala Harris,950,46.7,444
Emerson,2.9,-1.1,Virginia,2024-09-24,Kamala Harris,860,52.7,453
Beacon/Shaw,2.8,-1.1,Arizona,2024-09-24,Kamala Harris,1021,47,480
Beacon/Shaw,2.8,-1.1,Arizona,2024-09-24,Kamala Harris,764,47,359
Beacon/Shaw,2.8,-1.1,Arizona,2024-09-24,Kamala Harris,1021,48,490
Beacon/Shaw,2.8,-1.1,Arizona,2024-09-24,Kamala Harris,764,48,367
Beacon/Shaw,2.8,-1.1,Georgia,2024-09-24,Kamala Harris,1006,49,493
Beacon/Shaw,2.8,-1.1,Georgia,2024-09-24,Kamala Harris,707,50,354
Beacon/Shaw,2.8,-1.1,Georgia,2024-09-24,Kamala Harris,1006,51,513
Beacon/Shaw,2.8,-1.1,Georgia,2024-09-24,Kamala Harris,707,51,361
Beacon/Shaw,2.8,-1.1,North Carolina,2024-09-24,Kamala Harris,787,47,370
Beacon/Shaw,2.8,-1.1,North Carolina,2024-09-24,Kamala Harris,991,48,476
Beacon/Shaw,2.8,-1.1,North Carolina,2024-09-24,Kamala Harris,787,49,386
Beacon/Shaw,2.8,-1.1,North Carolina,2024-09-24,Kamala Harris,991,50,496
Beacon/Shaw,2.8,-1.1,Pennsylvania,2024-09-24,Kamala Harris,775,47,364
Beacon/Shaw,2.8,-1.1,Pennsylvania,2024-09-24,Kamala Harris,1021,48,490
Beacon/Shaw,2.8,-1.1,Pennsylvania,2024-09-24,Kamala Harris,775,49,380
Beacon/Shaw,2.8,-1.1,Pennsylvania,2024-09-24,Kamala Harris,1021,50,510
Marist,2.9,-0.9,Arizona,2024-09-24,Kamala Harris,1416,48,680
Marist,2.9,-0.9,Arizona,2024-09-24,Kamala Harris,1264,49,619
Marist,2.9,-0.9,North Carolina,2024-09-24,Kamala Harris,1507,49,738
Marist,2.9,-0.9,North Carolina,2024-09-24,Kamala Harris,1348,49,661
Marist,2.9,-0.9,Georgia,2024-09-24,Kamala Harris,1420,49,696
Marist,2.9,-0.9,Georgia,2024-09-24,Kamala Harris,1220,49,598
Siena/NYT,3,-1.5,Arizona,2024-09-21,Kamala Harris,713,45,321
Siena/NYT,3,-1.5,Arizona,2024-09-21,Kamala Harris,713,45,321
Siena/NYT,3,-1.5,Arizona,2024-09-21,Kamala Harris,713,42,299
Siena/NYT,3,-1.5,Arizona,2024-09-21,Kamala Harris,713,43,307
Siena/NYT,3,-1.5,Georgia,2024-09-21,Kamala Harris,682,44,300
Siena/NYT,3,-1.5,Georgia,2024-09-21,Kamala Harris,682,45,307
Siena/NYT,3,-1.5,Georgia,2024-09-21,Kamala Harris,682,43,293
Siena/NYT,3,-1.5,Georgia,2024-09-21,Kamala Harris,682,44,300
Siena/NYT,3,-1.5,North Carolina,2024-09-21,Kamala Harris,682,47,321
Siena/NYT,3,-1.5,North Carolina,2024-09-21,Kamala Harris,682,47,321
Siena/NYT,3,-1.5,North Carolina,2024-09-21,Kamala Harris,682,46,314
Siena/NYT,3,-1.5,North Carolina,2024-09-21,Kamala Harris,682,45,307
Emerson,2.9,-1.1,Arizona,2024-09-18,Kamala Harris,868,48.7,423
Emerson,2.9,-1.1,Georgia,2024-09-18,Kamala Harris,975,48.2,470
Emerson,2.9,-1.1,Michigan,2024-09-18,Kamala Harris,875,50,438
Emerson,2.9,-1.1,Nevada,2024-09-18,Kamala Harris,895,48.8,437
Emerson,2.9,-1.1,Pennsylvania,2024-09-18,Kamala Harris,880,49.6,436
Emerson,2.9,-1.1,North Carolina,2024-09-18,Kamala Harris,1000,49.7,497
Emerson,2.9,-1.1,Wisconsin,2024-09-18,Kamala Harris,1000,48.7,487
Marist,2.9,-0.9,Pennsylvania,2024-09-17,Kamala Harris,1663,49,815
Marist,2.9,-0.9,Pennsylvania,2024-09-17,Kamala Harris,1476,49,723
Marist,2.9,-0.9,Wisconsin,2024-09-17,Kamala Harris,1312,50,656
Marist,2.9,-0.9,Wisconsin,2024-09-17,Kamala Harris,1194,50,597
Marist,2.9,-0.9,Michigan,2024-09-17,Kamala Harris,1282,50,641
Marist,2.9,-0.9,Michigan,2024-09-17,Kamala Harris,1138,52,592
Quinnipiac,2.8,-0.5,Pennsylvania,2024-09-16,Kamala Harris,1331,51,679
Quinnipiac,2.8,-0.5,Pennsylvania,2024-09-16,Kamala Harris,1331,51,679
Quinnipiac,2.8,-0.5,Michigan,2024-09-16,Kamala Harris,905,50,452
Quinnipiac,2.8,-0.5,Michigan,2024-09-16,Kamala Harris,905,51,462
Quinnipiac,2.8,-0.5,Wisconsin,2024-09-16,Kamala Harris,1075,48,516
Quinnipiac,2.8,-0.5,Wisconsin,2024-09-16,Kamala Harris,1075,49,527
Siena/NYT,3,-1.5,Pennsylvania,2024-09-16,Kamala Harris,1082,50,541
Siena/NYT,3,-1.5,Pennsylvania,2024-09-16,Kamala Harris,1082,50,541
Siena/NYT,3,-1.5,Pennsylvania,2024-09-16,Kamala Harris,1082,48,519
Siena/NYT,3,-1.5,Pennsylvania,2024-09-16,Kamala Harris,1082,49,530
Emerson,2.9,-1.1,Maryland,2024-09-13,Kamala Harris,890,65.3,581
Emerson,2.9,-1.1,Other,2024-09-13,Kamala Harris,850,43.4,369
Emerson,2.9,-1.1,Other,2024-09-13,Kamala Harris,1000,40.7,407
Quinnipiac,2.8,-0.5,North Carolina,2024-09-08,Kamala Harris,940,49,461
Quinnipiac,2.8,-0.5,North Carolina,2024-09-08,Kamala Harris,940,50,470
Quinnipiac,2.8,-0.5,Georgia,2024-09-08,Kamala Harris,969,45,436
Quinnipiac,2.8,-0.5,Georgia,2024-09-08,Kamala Harris,969,46,446
Emerson,2.9,-1.1,California,2024-09-05,Kamala Harris,815,60.8,496
Emerson,2.9,-1.1,Florida,2024-09-05,Kamala Harris,815,47.6,388
Emerson,2.9,-1.1,Texas,2024-09-05,Kamala Harris,845,48,406
Emerson,2.9,-1.1,Ohio,2024-09-05,Kamala Harris,945,44.7,422
Emerson,2.9,-1.1,Arizona,2024-08-28,Kamala Harris,720,47.5,342
Emerson,2.9,-1.1,Michigan,2024-08-28,Kamala Harris,800,51.2,410
Emerson,2.9,-1.1,Nevada,2024-08-28,Kamala Harris,1168,49.4,577
Emerson,2.9,-1.1,Pennsylvania,2024-08-28,Kamala Harris,950,49.4,469
Emerson,2.9,-1.1,Wisconsin,2024-08-28,Kamala Harris,850,49.1,417
Emerson,2.9,-1.1,North Carolina,2024-08-28,Kamala Harris,775,49,380
Emerson,2.9,-1.1,Georgia,2024-08-28,Kamala Harris,800,50.1,401
Beacon/Shaw,2.8,-1.1,Arizona,2024-08-26,Kamala Harris,1014,48,487
Beacon/Shaw,2.8,-1.1,Arizona,2024-08-26,Kamala Harris,1014,50,507
Beacon/Shaw,2.8,-1.1,Georgia,2024-08-26,Kamala Harris,1014,48,487
Beacon/Shaw,2.8,-1.1,Georgia,2024-08-26,Kamala Harris,1014,50,507
Beacon/Shaw,2.8,-1.1,Nevada,2024-08-26,Kamala Harris,1026,48,492
Beacon/Shaw,2.8,-1.1,Nevada,2024-08-26,Kamala Harris,1026,50,513
Beacon/Shaw,2.8,-1.1,North Carolina,2024-08-26,Kamala Harris,999,47,470
Beacon/Shaw,2.8,-1.1,North Carolina,2024-08-26,Kamala Harris,999,49,490
Emerson,2.9,-1.1,New Mexico,2024-08-22,Kamala Harris,965,53.6,517
Emerson,2.9,-1.1,New Mexico,2024-08-22,Kamala Harris,965,51,492
Siena/NYT,3,-1.5,Nevada,2024-08-15,Kamala Harris,677,46,311
Siena/NYT,3,-1.5,Nevada,2024-08-15,Kamala Harris,677,47,318
Siena/NYT,3,-1.5,Nevada,2024-08-15,Kamala Harris,677,42,284
Siena/NYT,3,-1.5,Nevada,2024-08-15,Kamala Harris,677,44,298
Siena/NYT,3,-1.5,Arizona,2024-08-15,Kamala Harris,677,49,332
Siena/NYT,3,-1.5,Arizona,2024-08-15,Kamala Harris,677,50,338
Siena/NYT,3,-1.5,Arizona,2024-08-15,Kamala Harris,677,45,305
Siena/NYT,3,-1.5,Arizona,2024-08-15,Kamala Harris,677,47,318
Emerson,2.9,-1.1,Pennsylvania,2024-08-14,Kamala Harris,1000,49.3,493
Emerson,2.9,-1.1,Pennsylvania,2024-08-14,Kamala Harris,1000,46.8,468
Siena/NYT,3,-1.5,North Carolina,2024-08-14,Kamala Harris,655,49,321
Siena/NYT,3,-1.5,North Carolina,2024-08-14,Kamala Harris,655,49,321
Siena/NYT,3,-1.5,North Carolina,2024-08-14,Kamala Harris,655,45,295
Siena/NYT,3,-1.5,North Carolina,2024-08-14,Kamala Harris,655,46,301
Siena/NYT,3,-1.5,Georgia,2024-08-14,Kamala Harris,661,44,291
Siena/NYT,3,-1.5,Georgia,2024-08-14,Kamala Harris,661,46,304
Siena/NYT,3,-1.5,Georgia,2024-08-14,Kamala Harris,661,41,271
Siena/NYT,3,-1.5,Georgia,2024-08-14,Kamala Harris,661,44,291
Quinnipiac,2.8,-0.5,Pennsylvania,2024-08-12,Kamala Harris,1738,48,834
Quinnipiac,2.8,-0.5,Pennsylvania,2024-08-12,Kamala Harris,1738,50,869
Siena/NYT,3,-1.5,Pennsylvania,2024-08-09,Kamala Harris,693,49,340
Siena/NYT,3,-1.5,Pennsylvania,2024-08-09,Kamala Harris,693,50,346
Siena/NYT,3,-1.5,Pennsylvania,2024-08-09,Kamala Harris,693,45,312
Siena/NYT,3,-1.5,Pennsylvania,2024-08-09,Kamala Harris,693,46,319
Siena/NYT,3,-1.5,Michigan,2024-08-08,Kamala Harris,619,45,279
Siena/NYT,3,-1.5,Michigan,2024-08-08,Kamala Harris,619,50,310
Siena/NYT,3,-1.5,Michigan,2024-08-08,Kamala Harris,619,44,272
Siena/NYT,3,-1.5,Michigan,2024-08-08,Kamala Harris,619,48,297
Siena/NYT,3,-1.5,Wisconsin,2024-08-08,Kamala Harris,661,50,330
Siena/NYT,3,-1.5,Wisconsin,2024-08-08,Kamala Harris,661,50,330
Siena/NYT,3,-1.5,Wisconsin,2024-08-08,Kamala Harris,661,49,324
Siena/NYT,3,-1.5,Wisconsin,2024-08-08,Kamala Harris,661,49,324
Emerson,2.9,-1.1,Montana,2024-08-06,Kamala Harris,1000,42.5,425
Emerson,2.9,-1.1,Montana,2024-08-06,Kamala Harris,1000,39,390
Emerson,2.9,-1.1,New Hampshire,2024-07-28,Kamala Harris,1000,52.4,524
Emerson,2.9,-1.1,New Hampshire,2024-07-28,Kamala Harris,1000,47.7,477
Beacon/Shaw,2.8,-1.1,Wisconsin,2024-07-24,Kamala Harris,1046,46,481
Beacon/Shaw,2.8,-1.1,Wisconsin,2024-07-24,Kamala Harris,1046,49,513
Beacon/Shaw,2.8,-1.1,Pennsylvania,2024-07-24,Kamala Harris,1034,45,465
Beacon/Shaw,2.8,-1.1,Pennsylvania,2024-07-24,Kamala Harris,1034,49,507
Beacon/Shaw,2.8,-1.1,Minnesota,2024-07-24,Kamala Harris,1071,47,503
Beacon/Shaw,2.8,-1.1,Minnesota,2024-07-24,Kamala Harris,1071,52,557
Beacon/Shaw,2.8,-1.1,Michigan,2024-07-24,Kamala Harris,1012,43,435
Beacon/Shaw,2.8,-1.1,Michigan,2024-07-24,Kamala Harris,1012,49,496
Emerson,2.9,-1.1,Arizona,2024-07-23,Kamala Harris,800,47.4,379
Emerson,2.9,-1.1,Arizona,2024-07-23,Kamala Harris,800,39.8,318
Emerson,2.9,-1.1,Georgia,2024-07-23,Kamala Harris,800,48.9,391
Emerson,2.9,-1.1,Georgia,2024-07-23,Kamala Harris,800,43.3,346
Emerson,2.9,-1.1,Michigan,2024-07-23,Kamala Harris,800,49.1,393
Emerson,2.9,-1.1,Michigan,2024-07-23,Kamala Harris,800,43.8,350
Emerson,2.9,-1.1,Wisconsin,2024-07-23,Kamala Harris,845,50.6,428
Emerson,2.9,-1.1,Wisconsin,2024-07-23,Kamala Harris,845,45.4,384
Emerson,2.9,-1.1,Pennsylvania,2024-07-23,Kamala Harris,850,48.9,416
Emerson,2.9,-1.1,Pennsylvania,2024-07-23,Kamala Harris,850,44.3,377
