pollster,numeric_grade,pollscore,state,end_date,candidate_name,sample_size,pct
AtlasIntel,2.7,-0.8,Georgia,10/17/24,Chase Oliver,1411,1.3
AtlasIntel,2.7,-0.8,Georgia,10/17/24,Cornel West,1411,0.2
AtlasIntel,2.7,-0.8,Georgia,10/17/24,Jill Stein,1411,0.2
AtlasIntel,2.7,-0.8,Georgia,10/17/24,Kamala Harris,1411,48.4
AtlasIntel,2.7,-0.8,Georgia,10/17/24,Donald Trump,1411,50.1
AtlasIntel,2.7,-0.8,Michigan,10/17/24,Kamala Harris,1529,46.8
AtlasIntel,2.7,-0.8,Michigan,10/17/24,Donald Trump,1529,49.6
AtlasIntel,2.7,-0.8,Michigan,10/17/24,Jill Stein,1529,1.1
AtlasIntel,2.7,-0.8,Michigan,10/17/24,Robert F. Kennedy,1529,0.7
AtlasIntel,2.7,-0.8,Michigan,10/17/24,Chase Oliver,1529,0.2
AtlasIntel,2.7,-0.8,Michigan,10/17/24,Cornel West,1529,0.1
AtlasIntel,2.7,-0.8,Michigan,10/17/24,Kamala Harris,1529,47.3
AtlasIntel,2.7,-0.8,Michigan,10/17/24,Donald Trump,1529,50.2
AtlasIntel,2.7,-0.8,Nevada,10/17/24,Kamala Harris,1171,48.1
AtlasIntel,2.7,-0.8,Nevada,10/17/24,Donald Trump,1171,48.4
AtlasIntel,2.7,-0.8,Nevada,10/17/24,Jill Stein,1171,1.7
AtlasIntel,2.7,-0.8,Nevada,10/17/24,Chase Oliver,1171,0
AtlasIntel,2.7,-0.8,Nevada,10/17/24,Kamala Harris,1171,48.4
AtlasIntel,2.7,-0.8,Nevada,10/17/24,Donald Trump,1171,48.3
AtlasIntel,2.7,-0.8,North Carolina,10/17/24,Kamala Harris,1674,49.5
AtlasIntel,2.7,-0.8,North Carolina,10/17/24,Donald Trump,1674,48.8
AtlasIntel,2.7,-0.8,North Carolina,10/17/24,Jill Stein,1674,1.1
AtlasIntel,2.7,-0.8,North Carolina,10/17/24,Chase Oliver,1674,0.1
AtlasIntel,2.7,-0.8,North Carolina,10/17/24,Cornel West,1674,0.1
AtlasIntel,2.7,-0.8,North Carolina,10/17/24,Kamala Harris,1674,50.5
AtlasIntel,2.7,-0.8,North Carolina,10/17/24,Donald Trump,1674,48.8
AtlasIntel,2.7,-0.8,Pennsylvania,10/17/24,Kamala Harris,2048,46.5
AtlasIntel,2.7,-0.8,Pennsylvania,10/17/24,Donald Trump,2048,49.8
AtlasIntel,2.7,-0.8,Pennsylvania,10/17/24,Jill Stein,2048,1.9
AtlasIntel,2.7,-0.8,Pennsylvania,10/17/24,Chase Oliver,2048,0.5
AtlasIntel,2.7,-0.8,Pennsylvania,10/17/24,Kamala Harris,2048,47.4
AtlasIntel,2.7,-0.8,Pennsylvania,10/17/24,Donald Trump,2048,49.9
AtlasIntel,2.7,-0.8,Wisconsin,10/17/24,Kamala Harris,932,48.9
AtlasIntel,2.7,-0.8,Wisconsin,10/17/24,Donald Trump,932,48.2
AtlasIntel,2.7,-0.8,Wisconsin,10/17/24,Chase Oliver,932,0.8
AtlasIntel,2.7,-0.8,Wisconsin,10/17/24,Robert F. Kennedy,932,0.7
AtlasIntel,2.7,-0.8,Wisconsin,10/17/24,Jill Stein,932,0.2
AtlasIntel,2.7,-0.8,Wisconsin,10/17/24,Kamala Harris,932,49
AtlasIntel,2.7,-0.8,Wisconsin,10/17/24,Donald Trump,932,48.4
TIPP,1.8,-0.4,Georgia,10/16/24,Kamala Harris,1029,48.8
TIPP,1.8,-0.4,Georgia,10/16/24,Donald Trump,1029,45.8
TIPP,1.8,-0.4,Georgia,10/16/24,Kamala Harris,813,48.3
TIPP,1.8,-0.4,Georgia,10/16/24,Donald Trump,813,48.5
TIPP,1.8,-0.4,Georgia,10/16/24,Kamala Harris,1029,48.3
TIPP,1.8,-0.4,Georgia,10/16/24,Donald Trump,1029,44.8
TIPP,1.8,-0.4,Georgia,10/16/24,Cornel West,1029,1
TIPP,1.8,-0.4,Georgia,10/16/24,Jill Stein,1029,1
TIPP,1.8,-0.4,Georgia,10/16/24,Kamala Harris,813,49
TIPP,1.8,-0.4,Georgia,10/16/24,Donald Trump,813,48.5
TIPP,1.8,-0.4,Georgia,10/16/24,Cornel West,813,0.5
TIPP,1.8,-0.4,Georgia,10/16/24,Jill Stein,813,0.8
YouGov,3,-1.1,Arizona,10/16/24,Kamala Harris,1435,48
YouGov,3,-1.1,Arizona,10/16/24,Donald Trump,1435,51
RMG Research,2.3,-0.4,Wisconsin,10/16/24,Kamala Harris,787,49
RMG Research,2.3,-0.4,Wisconsin,10/16/24,Donald Trump,787,50
RMG Research,2.3,-0.4,Michigan,10/16/24,Kamala Harris,789,49
RMG Research,2.3,-0.4,Michigan,10/16/24,Donald Trump,789,49
InsiderAdvantage,2,-0.3,Georgia,10/15/24,Kamala Harris,800,47
InsiderAdvantage,2,-0.3,Georgia,10/15/24,Donald Trump,800,49
Morning Consult,1.9,-0.3,Arizona,10/15/24,Kamala Harris,653,49
Morning Consult,1.9,-0.3,Arizona,10/15/24,Donald Trump,653,48
Morning Consult,1.9,-0.3,Georgia,10/15/24,Kamala Harris,1002,48
Morning Consult,1.9,-0.3,Georgia,10/15/24,Donald Trump,1002,49
Morning Consult,1.9,-0.3,Maryland,10/15/24,Kamala Harris,490,64
Morning Consult,1.9,-0.3,Maryland,10/15/24,Donald Trump,490,31
Morning Consult,1.9,-0.3,Michigan,10/15/24,Kamala Harris,1065,49
Morning Consult,1.9,-0.3,Michigan,10/15/24,Donald Trump,1065,47
Morning Consult,1.9,-0.3,Nevada,10/15/24,Kamala Harris,496,49
Morning Consult,1.9,-0.3,Nevada,10/15/24,Donald Trump,496,45
Morning Consult,1.9,-0.3,North Carolina,10/15/24,Kamala Harris,1072,48
Morning Consult,1.9,-0.3,North Carolina,10/15/24,Donald Trump,1072,49
Morning Consult,1.9,-0.3,Ohio,10/15/24,Kamala Harris,1243,45
Morning Consult,1.9,-0.3,Ohio,10/15/24,Donald Trump,1243,52
Morning Consult,1.9,-0.3,Pennsylvania,10/15/24,Kamala Harris,1395,49
Morning Consult,1.9,-0.3,Pennsylvania,10/15/24,Donald Trump,1395,48
Morning Consult,1.9,-0.3,Texas,10/15/24,Kamala Harris,2048,46
Morning Consult,1.9,-0.3,Texas,10/15/24,Donald Trump,2048,50
Morning Consult,1.9,-0.3,Wisconsin,10/15/24,Kamala Harris,527,47
Morning Consult,1.9,-0.3,Wisconsin,10/15/24,Donald Trump,527,48
Washington Post/George Mason University,2.7,-0.8,Arizona,10/15/24,Kamala Harris,580,44
Washington Post/George Mason University,2.7,-0.8,Arizona,10/15/24,Donald Trump,580,50
Washington Post/George Mason University,2.7,-0.8,Arizona,10/15/24,Kamala Harris,580,46
Washington Post/George Mason University,2.7,-0.8,Arizona,10/15/24,Donald Trump,580,49
Washington Post/George Mason University,2.7,-0.8,Georgia,10/15/24,Kamala Harris,730,50
Washington Post/George Mason University,2.7,-0.8,Georgia,10/15/24,Donald Trump,730,44
Washington Post/George Mason University,2.7,-0.8,Georgia,10/15/24,Kamala Harris,730,51
Washington Post/George Mason University,2.7,-0.8,Georgia,10/15/24,Donald Trump,730,47
Washington Post/George Mason University,2.7,-0.8,Michigan,10/15/24,Kamala Harris,687,46
Washington Post/George Mason University,2.7,-0.8,Michigan,10/15/24,Donald Trump,687,47
Washington Post/George Mason University,2.7,-0.8,Michigan,10/15/24,Kamala Harris,687,49
Washington Post/George Mason University,2.7,-0.8,Michigan,10/15/24,Donald Trump,687,47
Washington Post/George Mason University,2.7,-0.8,Nevada,10/15/24,Kamala Harris,652,47
Washington Post/George Mason University,2.7,-0.8,Nevada,10/15/24,Donald Trump,652,44
Washington Post/George Mason University,2.7,-0.8,Nevada,10/15/24,Kamala Harris,652,48
Washington Post/George Mason University,2.7,-0.8,Nevada,10/15/24,Donald Trump,652,48
Washington Post/George Mason University,2.7,-0.8,North Carolina,10/15/24,Kamala Harris,965,45
Washington Post/George Mason University,2.7,-0.8,North Carolina,10/15/24,Donald Trump,965,49
Washington Post/George Mason University,2.7,-0.8,North Carolina,10/15/24,Kamala Harris,965,47
Washington Post/George Mason University,2.7,-0.8,North Carolina,10/15/24,Donald Trump,965,50
Washington Post/George Mason University,2.7,-0.8,Pennsylvania,10/15/24,Kamala Harris,707,49
Washington Post/George Mason University,2.7,-0.8,Pennsylvania,10/15/24,Donald Trump,707,46
Washington Post/George Mason University,2.7,-0.8,Pennsylvania,10/15/24,Kamala Harris,707,49
Washington Post/George Mason University,2.7,-0.8,Pennsylvania,10/15/24,Donald Trump,707,47
Washington Post/George Mason University,2.7,-0.8,Wisconsin,10/15/24,Kamala Harris,695,50
Washington Post/George Mason University,2.7,-0.8,Wisconsin,10/15/24,Donald Trump,695,46
Washington Post/George Mason University,2.7,-0.8,Wisconsin,10/15/24,Kamala Harris,695,50
Washington Post/George Mason University,2.7,-0.8,Wisconsin,10/15/24,Donald Trump,695,47
Mitchell,2.4,-0.2,Michigan,10/14/24,Kamala Harris,589,47
Mitchell,2.4,-0.2,Michigan,10/14/24,Donald Trump,589,47
Mitchell,2.4,-0.2,Michigan,10/14/24,Jill Stein,589,1
Mitchell,2.4,-0.2,Michigan,10/14/24,Chase Oliver,589,1
Mitchell,2.4,-0.2,Michigan,10/14/24,Robert F. Kennedy,589,0
Mitchell,2.4,-0.2,Michigan,10/14/24,Cornel West,589,0
Mitchell,2.4,-0.2,Michigan,10/14/24,Kamala Harris,589,47.4
Mitchell,2.4,-0.2,Michigan,10/14/24,Donald Trump,589,48.5
Patriot Polling,1.1,0.6,Wisconsin,10/14/24,Kamala Harris,803,49
Patriot Polling,1.1,0.6,Wisconsin,10/14/24,Donald Trump,803,50
Emerson,2.9,-1.1,California,10/14/24,Kamala Harris,1000,61
Emerson,2.9,-1.1,California,10/14/24,Donald Trump,1000,36.6
Redfield & Wilton Strategies,1.8,0.4,North Carolina,10/14/24,Kamala Harris,620,46
Redfield & Wilton Strategies,1.8,0.4,North Carolina,10/14/24,Donald Trump,620,48
Redfield & Wilton Strategies,1.8,0.4,North Carolina,10/14/24,Chase Oliver,620,1
Redfield & Wilton Strategies,1.8,0.4,North Carolina,10/14/24,Jill Stein,620,0
Redfield & Wilton Strategies,1.8,0.4,Arizona,10/14/24,Kamala Harris,1141,46
Redfield & Wilton Strategies,1.8,0.4,Arizona,10/14/24,Donald Trump,1141,48
Redfield & Wilton Strategies,1.8,0.4,Arizona,10/14/24,Chase Oliver,1141,1
Redfield & Wilton Strategies,1.8,0.4,Arizona,10/14/24,Jill Stein,1141,1
Redfield & Wilton Strategies,1.8,0.4,Florida,10/14/24,Kamala Harris,1009,44
Redfield & Wilton Strategies,1.8,0.4,Florida,10/14/24,Donald Trump,1009,50
Redfield & Wilton Strategies,1.8,0.4,Florida,10/14/24,Chase Oliver,1009,0
Redfield & Wilton Strategies,1.8,0.4,Florida,10/14/24,Jill Stein,1009,1
Redfield & Wilton Strategies,1.8,0.4,Georgia,10/14/24,Kamala Harris,637,47
Redfield & Wilton Strategies,1.8,0.4,Georgia,10/14/24,Donald Trump,637,47
Redfield & Wilton Strategies,1.8,0.4,Georgia,10/14/24,Chase Oliver,637,1
Redfield & Wilton Strategies,1.8,0.4,Georgia,10/14/24,Jill Stein,637,2
Redfield & Wilton Strategies,1.8,0.4,Michigan,10/14/24,Kamala Harris,682,47
Redfield & Wilton Strategies,1.8,0.4,Michigan,10/14/24,Donald Trump,682,47
Redfield & Wilton Strategies,1.8,0.4,Michigan,10/14/24,Chase Oliver,682,1
Redfield & Wilton Strategies,1.8,0.4,Michigan,10/14/24,Jill Stein,682,0
Redfield & Wilton Strategies,1.8,0.4,Minnesota,10/14/24,Kamala Harris,544,51
Redfield & Wilton Strategies,1.8,0.4,Minnesota,10/14/24,Donald Trump,544,43
Redfield & Wilton Strategies,1.8,0.4,Minnesota,10/14/24,Chase Oliver,544,0
Redfield & Wilton Strategies,1.8,0.4,Minnesota,10/14/24,Jill Stein,544,1
Redfield & Wilton Strategies,1.8,0.4,Nevada,10/14/24,Kamala Harris,838,47
Redfield & Wilton Strategies,1.8,0.4,Nevada,10/14/24,Donald Trump,838,47
Redfield & Wilton Strategies,1.8,0.4,Nevada,10/14/24,Chase Oliver,838,1
Redfield & Wilton Strategies,1.8,0.4,Nevada,10/14/24,Jill Stein,838,0
Redfield & Wilton Strategies,1.8,0.4,New Mexico,10/14/24,Kamala Harris,382,49
Redfield & Wilton Strategies,1.8,0.4,New Mexico,10/14/24,Donald Trump,382,45
Redfield & Wilton Strategies,1.8,0.4,New Mexico,10/14/24,Chase Oliver,382,1
Redfield & Wilton Strategies,1.8,0.4,New Mexico,10/14/24,Jill Stein,382,2
Redfield & Wilton Strategies,1.8,0.4,Pennsylvania,10/14/24,Kamala Harris,1649,48
Redfield & Wilton Strategies,1.8,0.4,Pennsylvania,10/14/24,Donald Trump,1649,48
Redfield & Wilton Strategies,1.8,0.4,Pennsylvania,10/14/24,Chase Oliver,1649,1
Redfield & Wilton Strategies,1.8,0.4,Pennsylvania,10/14/24,Jill Stein,1649,0
Redfield & Wilton Strategies,1.8,0.4,Wisconsin,10/14/24,Kamala Harris,641,48
Redfield & Wilton Strategies,1.8,0.4,Wisconsin,10/14/24,Donald Trump,641,47
Redfield & Wilton Strategies,1.8,0.4,Wisconsin,10/14/24,Chase Oliver,641,1
Redfield & Wilton Strategies,1.8,0.4,Wisconsin,10/14/24,Jill Stein,641,1
Cygnal,2.1,-1.1,North Carolina,10/14/24,Kamala Harris,600,46.6
Cygnal,2.1,-1.1,North Carolina,10/14/24,Donald Trump,600,47.2
Cygnal,2.1,-1.1,North Carolina,10/14/24,Chase Oliver,600,0.9
Cygnal,2.1,-1.1,North Carolina,10/14/24,Randall A. Terry,600,0.1
Cygnal,2.1,-1.1,North Carolina,10/14/24,Jill Stein,600,0.4
Cygnal,2.1,-1.1,North Carolina,10/14/24,Cornel West,600,0.6
Quinnipiac,2.8,-0.5,Georgia,10/14/24,Kamala Harris,1328,45
Quinnipiac,2.8,-0.5,Georgia,10/14/24,Donald Trump,1328,52
Quinnipiac,2.8,-0.5,Georgia,10/14/24,Jill Stein,1328,1
Quinnipiac,2.8,-0.5,Georgia,10/14/24,Chase Oliver,1328,1
Quinnipiac,2.8,-0.5,Georgia,10/14/24,Kamala Harris,1328,46
Quinnipiac,2.8,-0.5,Georgia,10/14/24,Donald Trump,1328,52
Quinnipiac,2.8,-0.5,North Carolina,10/14/24,Kamala Harris,1031,49
Quinnipiac,2.8,-0.5,North Carolina,10/14/24,Donald Trump,1031,47
Quinnipiac,2.8,-0.5,North Carolina,10/14/24,Jill Stein,1031,0
Quinnipiac,2.8,-0.5,North Carolina,10/14/24,Chase Oliver,1031,1
Quinnipiac,2.8,-0.5,North Carolina,10/14/24,Cornel West,1031,0
Quinnipiac,2.8,-0.5,North Carolina,10/14/24,Randall A. Terry,1031,0
Quinnipiac,2.8,-0.5,North Carolina,10/14/24,Kamala Harris,1031,50
Quinnipiac,2.8,-0.5,North Carolina,10/14/24,Donald Trump,1031,47
SurveyUSA,2.8,-1.3,Other,10/14/24,Kamala Harris,703,57
SurveyUSA,2.8,-1.3,Other,10/14/24,Donald Trump,703,35
East Carolina University,2.6,-0.5,Georgia,10/14/24,Kamala Harris,701,45.8
East Carolina University,2.6,-0.5,Georgia,10/14/24,Donald Trump,701,48.9
East Carolina University,2.6,-0.5,Georgia,10/14/24,Chase Oliver,701,0.4
East Carolina University,2.6,-0.5,Georgia,10/14/24,Jill Stein,701,1.4
Trafalgar Group,0.7,0.6,Arizona,10/13/24,Kamala Harris,1090,46
Trafalgar Group,0.7,0.6,Arizona,10/13/24,Donald Trump,1090,47.5
Trafalgar Group,0.7,0.6,North Carolina,10/13/24,Kamala Harris,1085,44.6
Trafalgar Group,0.7,0.6,North Carolina,10/13/24,Donald Trump,1085,46.5
Trafalgar Group,0.7,0.6,Nevada,10/13/24,Kamala Harris,1088,45.6
Trafalgar Group,0.7,0.6,Nevada,10/13/24,Donald Trump,1088,44.8
Elway,1.9,-0.2,Other,10/12/24,Kamala Harris,401,57
Elway,1.9,-0.2,Other,10/12/24,Donald Trump,401,32
MRG (Marketing Resource Group),1.8,0.1,Michigan,10/11/24,Kamala Harris,600,44.9
MRG (Marketing Resource Group),1.8,0.1,Michigan,10/11/24,Donald Trump,600,44
MRG (Marketing Resource Group),1.8,0.1,Michigan,10/11/24,Robert F. Kennedy,600,2.6
MRG (Marketing Resource Group),1.8,0.1,Michigan,10/11/24,Jill Stein,600,2.1
MRG (Marketing Resource Group),1.8,0.1,Michigan,10/11/24,Cornel West,600,0.5
MRG (Marketing Resource Group),1.8,0.1,Michigan,10/11/24,Joseph Kishore,600,0
MRG (Marketing Resource Group),1.8,0.1,Michigan,10/11/24,Randall A. Terry,600,0
MRG (Marketing Resource Group),1.8,0.1,Michigan,10/11/24,Chase Oliver,600,1.2
Siena/NYT,3,-1.5,Pennsylvania,10/10/24,Kamala Harris,857,50
Siena/NYT,3,-1.5,Pennsylvania,10/10/24,Donald Trump,857,47
Siena/NYT,3,-1.5,Pennsylvania,10/10/24,Kamala Harris,857,49
Siena/NYT,3,-1.5,Pennsylvania,10/10/24,Donald Trump,857,45
Siena/NYT,3,-1.5,Pennsylvania,10/10/24,Jill Stein,857,2
Siena/NYT,3,-1.5,Pennsylvania,10/10/24,Chase Oliver,857,1
Siena/NYT,3,-1.5,Pennsylvania,10/10/24,Kamala Harris,857,50
Siena/NYT,3,-1.5,Pennsylvania,10/10/24,Donald Trump,857,47
Siena/NYT,3,-1.5,Pennsylvania,10/10/24,Kamala Harris,857,49
Siena/NYT,3,-1.5,Pennsylvania,10/10/24,Donald Trump,857,45
Siena/NYT,3,-1.5,Pennsylvania,10/10/24,Jill Stein,857,1
Siena/NYT,3,-1.5,Pennsylvania,10/10/24,Chase Oliver,857,0
Siena/NYT,3,-1.5,Arizona,10/10/24,Kamala Harris,808,46
Siena/NYT,3,-1.5,Arizona,10/10/24,Donald Trump,808,51
Siena/NYT,3,-1.5,Arizona,10/10/24,Kamala Harris,808,45
Siena/NYT,3,-1.5,Arizona,10/10/24,Donald Trump,808,50
Siena/NYT,3,-1.5,Arizona,10/10/24,Jill Stein,808,1
Siena/NYT,3,-1.5,Arizona,10/10/24,Chase Oliver,808,0
Siena/NYT,3,-1.5,Arizona,10/10/24,Kamala Harris,808,45
Siena/NYT,3,-1.5,Arizona,10/10/24,Donald Trump,808,51
Siena/NYT,3,-1.5,Arizona,10/10/24,Kamala Harris,808,44
Siena/NYT,3,-1.5,Arizona,10/10/24,Donald Trump,808,49
Siena/NYT,3,-1.5,Arizona,10/10/24,Jill Stein,808,2
Siena/NYT,3,-1.5,Arizona,10/10/24,Chase Oliver,808,1
RMG Research,2.3,-0.4,Georgia,10/10/24,Kamala Harris,731,47
RMG Research,2.3,-0.4,Georgia,10/10/24,Donald Trump,731,50
UMass Amherst/YouGov,2.4,-0.4,Massachusetts,10/10/24,Kamala Harris,700,56
UMass Amherst/YouGov,2.4,-0.4,Massachusetts,10/10/24,Donald Trump,700,30
UMass Amherst/YouGov,2.4,-0.4,Massachusetts,10/10/24,Jill Stein,700,2
UMass Amherst/YouGov,2.4,-0.4,Massachusetts,10/10/24,Chase Oliver,700,1
UMass Amherst/YouGov,2.4,-0.4,Massachusetts,10/10/24,Claudia De La Cruz,700,1
UMass Amherst/YouGov,2.4,-0.4,Massachusetts,10/10/24,Shiva Ayyadurai,700,1
University of Massachusetts Lowell/YouGov,2.9,-1,New Hampshire,10/10/24,Kamala Harris,600,50
University of Massachusetts Lowell/YouGov,2.9,-1,New Hampshire,10/10/24,Donald Trump,600,41
University of Massachusetts Lowell/YouGov,2.9,-1,New Hampshire,10/10/24,Jill Stein,600,1
University of Massachusetts Lowell/YouGov,2.9,-1,New Hampshire,10/10/24,Chase Oliver,600,1
YouGov,3,-1.1,Texas,10/10/24,Kamala Harris,1091,46
YouGov,3,-1.1,Texas,10/10/24,Donald Trump,1091,51
YouGov,3,-1.1,Texas,10/10/24,Jill Stein,1091,2
YouGov,3,-1.1,Texas,10/10/24,Chase Oliver,1091,1
U. Houston,2.2,-0.3,Texas,10/10/24,Kamala Harris,1329,46
U. Houston,2.2,-0.3,Texas,10/10/24,Donald Trump,1329,51
U. Houston,2.2,-0.3,Texas,10/10/24,Jill Stein,1329,1
U. Houston,2.2,-0.3,Texas,10/10/24,Chase Oliver,1329,0
InsiderAdvantage,2,-0.3,Michigan,10/9/24,Kamala Harris,800,46
InsiderAdvantage,2,-0.3,Michigan,10/9/24,Donald Trump,800,48
InsiderAdvantage,2,-0.3,Wisconsin,10/9/24,Kamala Harris,800,48
InsiderAdvantage,2,-0.3,Wisconsin,10/9/24,Donald Trump,800,48
Redfield & Wilton Strategies,1.8,0.4,Georgia,10/9/24,Kamala Harris,608,47
Redfield & Wilton Strategies,1.8,0.4,Georgia,10/9/24,Donald Trump,608,48
Redfield & Wilton Strategies,1.8,0.4,Georgia,10/9/24,Chase Oliver,608,1
Redfield & Wilton Strategies,1.8,0.4,Georgia,10/9/24,Jill Stein,608,1
Redfield & Wilton Strategies,1.8,0.4,Pennsylvania,10/9/24,Kamala Harris,707,46
Redfield & Wilton Strategies,1.8,0.4,Pennsylvania,10/9/24,Donald Trump,707,48
Redfield & Wilton Strategies,1.8,0.4,Pennsylvania,10/9/24,Chase Oliver,707,1
Redfield & Wilton Strategies,1.8,0.4,Pennsylvania,10/9/24,Jill Stein,707,0
Alaska Survey Research,1.9,-0.1,Other,10/9/24,Kamala Harris,1254,43
Alaska Survey Research,1.9,-0.1,Other,10/9/24,Donald Trump,1254,50
Alaska Survey Research,1.9,-0.1,Other,10/9/24,Robert F. Kennedy,1254,7
Alaska Survey Research,1.9,-0.1,Other,10/9/24,Kamala Harris,1254,46
Alaska Survey Research,1.9,-0.1,Other,10/9/24,Donald Trump,1254,54
TIPP,1.8,-0.4,Pennsylvania,10/9/24,Kamala Harris,1079,49.2
TIPP,1.8,-0.4,Pennsylvania,10/9/24,Donald Trump,1079,45.3
TIPP,1.8,-0.4,Pennsylvania,10/9/24,Kamala Harris,803,47.5
TIPP,1.8,-0.4,Pennsylvania,10/9/24,Donald Trump,803,48.9
TIPP,1.8,-0.4,Pennsylvania,10/9/24,Kamala Harris,1079,48.5
TIPP,1.8,-0.4,Pennsylvania,10/9/24,Donald Trump,1079,44.9
TIPP,1.8,-0.4,Pennsylvania,10/9/24,Cornel West,1079,1.3
TIPP,1.8,-0.4,Pennsylvania,10/9/24,Jill Stein,1079,0.5
TIPP,1.8,-0.4,Pennsylvania,10/9/24,Kamala Harris,803,48.3
TIPP,1.8,-0.4,Pennsylvania,10/9/24,Donald Trump,803,49
TIPP,1.8,-0.4,Pennsylvania,10/9/24,Cornel West,803,1.3
TIPP,1.8,-0.4,Pennsylvania,10/9/24,Jill Stein,803,0.2
University of Massachusetts Lowell/YouGov,2.9,-1,Pennsylvania,10/9/24,Kamala Harris,800,46
University of Massachusetts Lowell/YouGov,2.9,-1,Pennsylvania,10/9/24,Donald Trump,800,45
