_id,Institution Name,Institution Address,Outbreak Setting,Type of Outbreak,Causative Agent-1,Causative Agent-2,Date Outbreak Began,Date Declared Over,Active,Causative Agent - 1,Causative Agent - 2
18,Rekai Centre Sherbourne Place - 3rd & 4th Fl,345 Sherbourne St,LTCH,Respiratory,COVID-19,None,2024-09-12,NA,Y,NA,NA
19,The Wexford - 7th Fl,1860 Lawrence Ave E,LTCH,Respiratory,Parainfluenza,None,2024-09-12,NA,Y,NA,NA
20,Valleyview Residence - 3E & 4W,541 Finch Ave W,LTCH,Respiratory,COVID-19,None,2024-09-12,NA,Y,NA,NA
21,Castleview Wychwood Towers - 2 West,351 Christie St,LTCH,Respiratory,Parainfluenza,None,2024-09-11,NA,Y,NA,NA
22,Cedarbrook Transitional Care Unit - 5th Fl,520 Markham Rd,Retirement Home,Respiratory,COVID-19,None,2024-09-11,2024-09-17,N,NA,NA
23,Deerwood Creek Community - 2B,70 Humberline Dr,LTCH,Respiratory,COVID-19,None,2024-09-11,NA,Y,NA,NA
24,Harold & Grace Baker Centre - C Wing,1 Northwestern Ave,LTCH,Respiratory,Parainfluenza,None,2024-09-11,NA,Y,NA,NA
25,Unity Health Toronto - St. Joseph's Health Centre - 4M,30 The Queensway,Hospital-Acute Care,Respiratory,COVID-19,None,2024-09-11,NA,Y,NA,NA
26,Sunnybrook Health Sciences Centre - St. John's Rehabilitation Hospital - A1,285 Cummer Ave,Hospital-Chronic Care,Respiratory,COVID-19,None,2024-09-10,NA,Y,NA,NA
27,Sunnybrook Health Sciences Centre - Veterans Centre - LFSE,2075 Bayview Ave,LTCH,Respiratory,COVID-19,None,2024-09-10,2024-09-17,N,NA,NA
28,Tyndall - McCall Centre for Continuing Care - 2nd Fl,140 Sherway Dr,LTCH,Respiratory,COVID-19,None,2024-09-10,NA,Y,NA,NA
29,Wesburn Manor - 4N & 4S,400 The West Mall,LTCH,Respiratory,COVID-19,None,2024-09-10,NA,Y,NA,NA
30,Baycrest Hospital - H7E,3560 Bathurst St,Hospital-Chronic Care,Respiratory,COVID-19,None,2024-09-09,NA,Y,NA,NA
31,Chartwell Grenadier Retirement Residence - A & C Wing - 2nd Fl,2100 Bloor St W,Retirement Home,Respiratory,COVID-19,None,2024-09-09,NA,Y,NA,NA
32,Reactivation Care Centre - Finch Site - Southlake Hospital - 5 East,2111 Finch Ave W,Hospital-Chronic Care,Respiratory,COVID-19,None,2024-09-09,2024-09-16,N,NA,NA
33,Shepherd Lodge - 2 North & 3 South,3760 Sheppard Ave E,LTCH,Respiratory,Enterovirus/ Rhinovirus,Enterovirus,2024-09-09,NA,Y,NA,NA
34,The O'Neill Centre - Willowvale 3rd Fl & High Park 5th Fl,33 Christie St,LTCH,Respiratory,COVID-19,None,2024-09-09,NA,Y,NA,NA
35,Downsview Long Term Care Centre,3595 Keele St,LTCH,Respiratory,Rhinovirus,None,2024-09-08,NA,Y,NA,NA
36,Hellenic Home - 2A,2241 Lawrence Ave E,LTCH,Respiratory,Pending,None,2024-09-08,NA,Y,NA,NA
37,Amica Bayview Gardens - 6th & 8th Fl,19 Rean Dr,Retirement Home,Respiratory,COVID-19,None,2024-09-06,NA,Y,NA,NA
38,Baycrest Hospital - 4W,3560 Bathurst St,Hospital-Chronic Care,Respiratory,COVID-19,None,2024-09-06,2024-09-18,N,NA,NA
39,Chester Village - 2W Topaz,3555 Danforth Ave,LTCH,Respiratory,COVID-19,None,2024-09-06,NA,Y,NA,NA
40,Elm Grove Living Centre - 1st & 3rd Fl,35 Elm Grove Ave,LTCH,Respiratory,COVID-19,None,2024-09-06,NA,Y,NA,NA
41,Parkland on Eglinton West - 3rd Fl,4650 Eglinton Ave W,Retirement Home,Respiratory,COVID-19,None,2024-09-06,NA,Y,NA,NA
42,Cummer Lodge - 4 South,205 Cummer Ave,LTCH,Respiratory,Pending,None,2024-09-05,NA,Y,NA,NA
43,Kipling Acres - 1st Fl Pine Point,2233 Kipling Ave,LTCH,Respiratory,COVID-19,None,2024-09-05,NA,Y,NA,NA
44,Unity Health Toronto - St. Michael's Hospital - 9CG,30 Bond St,Hospital-Acute Care,Other,CPE Escherichia coli (OXA-48),None,2024-09-05,NA,Y,NA,NA
45,Weston Gardens Transitional Care Unit - 3rd Fl,303 Queens Dr,LTCH,Respiratory,COVID-19,None,2024-09-05,NA,Y,NA,NA
46,Yee Hong Centre - Scarborough McNicoll - 4th & 5th Fl,2311 McNicoll Ave,LTCH,Respiratory,COVID-19,None,2024-09-05,NA,Y,NA,NA
47,Village of Humber Heights - 2nd Fl,2245 Lawrence Ave W,Retirement Home,Respiratory,Unable to identify,None,2024-09-04,2024-09-06,N,NA,NA
48,Deerwood Creek Community - 1A,70 Humberline Dr,LTCH,Respiratory,COVID-19,None,2024-09-03,NA,Y,NA,NA
49,Seven Oaks - 1st Fl,9 Neilson Rd,LTCH,Respiratory,COVID-19,None,2024-09-03,NA,Y,NA,NA
50,Unity Health Toronto - Houses of Providence - 1 East Redwood,3276 St. Clair Ave E,LTCH,Respiratory,COVID-19,None,2024-09-01,NA,Y,NA,NA
51,Centre For Addiction And Mental Health - CCC3,1001 Queen St W,Hospital-Psychiatric,Respiratory,COVID-19,None,2024-08-30,2024-09-07,N,NA,NA
52,Deerwood Creek Community - 1A,70 Humberline Dr,LTCH,Respiratory,Parainfluenza,None,2024-08-30,2024-09-09,N,NA,NA
53,One Kenton Place - 1st Fl,1 Kenton Dr,Retirement Home,Respiratory,COVID-19,None,2024-08-30,2024-09-07,N,NA,NA
54,Tendercare Living Centre - 3 West & 3 East,1020 McNicoll Ave,LTCH,Respiratory,COVID-19,None,2024-08-30,NA,Y,NA,NA
55,UHN - RCC - Trillium Health Partners - 3W,82 Buttonwood Ave,Hospital-Chronic Care,Respiratory,COVID-19,None,2024-08-30,2024-09-09,N,NA,NA
56,Weston Gardens,303 Queens Dr,Retirement Home,Respiratory,COVID-19,None,2024-08-30,NA,Y,NA,NA
57,RCC - Church Site - Humber River Hospital - A2N,200 Church St,Hospital-Chronic Care,Respiratory,COVID-19,None,2024-08-29,2024-09-05,N,NA,NA
58,Tony Stacey Centre for Veterans' Care,59 Lawson Rd,LTCH,Respiratory,Rhinovirus,None,2024-08-29,NA,Y,NA,NA
59,Unity Health Toronto - Houses Of Providence - A4,3276 St. Clair Ave E,LTCH,Respiratory,COVID-19,None,2024-08-29,2024-09-07,N,NA,NA
60,Baycrest Apotex Centre - Jewish Home For The Aged - 5RF,3560 Bathurst St,LTCH,Respiratory,COVID-19,None,2024-08-28,2024-09-11,N,NA,NA
61,Centre for Addiction and Mental Health - PRT 8,1001 Queen St W,Hospital-Psychiatric,Respiratory,COVID-19,None,2024-08-28,2024-09-05,N,NA,NA
62,Ivan Franko Home - 3W & 3S,767 Royal York Rd,LTCH,Respiratory,COVID-19,None,2024-08-28,NA,Y,NA,NA
63,McNicoll Manor / Moll Berczy Haus - 5th Fl East,1020 McNicoll Ave,Retirement Home,Respiratory,Coronavirus*,None,2024-08-28,2024-09-05,N,NA,NA
64,Nisbet Lodge - 11th Fl,740 Pape Ave,LTCH,Respiratory,COVID-19,None,2024-08-28,2024-09-03,N,NA,NA
65,North York General Hospital  - 5W,4001 Leslie Mall,Hospital-Acute Care,Respiratory,COVID-19,None,2024-08-28,2024-09-11,N,NA,NA
66,Castleview Wychwood Towers - 5th Fl,351 Christie St,LTCH,Respiratory,COVID-19,None,2024-08-27,NA,Y,NA,NA
67,Eatonville Care Centre - 4th Fl,420 The East Mall,LTCH,Respiratory,Unable to identify,None,2024-08-27,2024-09-05,N,NA,NA
68,Humber Meadows - 5th Fl (North Wing),2109 Finch Ave W,LTCH,Respiratory,Rhinovirus,None,2024-08-27,2024-09-07,N,NA,NA
69,Kensington Gardens North Building - 3W (3rd Fl West Side),45 Brunswick Ave,LTCH,Respiratory,COVID-19,None,2024-08-27,2024-09-04,N,NA,NA
70,Mon Sheong Home For The Aged - 4th Fl,36 D'Arcy St,LTCH,Respiratory,COVID-19,None,2024-08-27,2024-09-08,N,NA,NA
71,The Heritage Nursing Home - 3rd Fl,1195 Queen St E,LTCH,Respiratory,Rhinovirus,None,2024-08-27,2024-09-06,N,NA,NA
72,The Wexford - 7th Fl,1860 Lawrence Ave E,LTCH,Respiratory,Unable to identify,None,2024-08-27,2024-09-09,N,NA,NA
73,Age Care Trilogy - 3rd & 6th Fl,340 McCowan Rd,LTCH,Respiratory,COVID-19,None,2024-08-26,2024-09-15,N,NA,NA
74,Amica Bayview Gardens - 3rd & 4th Fl,19 Rean Dr,Retirement Home,Respiratory,COVID-19,None,2024-08-26,2024-09-10,N,NA,NA
75,Carefirst Transitional Care Centre,300 Silver Star Blvd,Retirement Home,Respiratory,COVID-19,None,2024-08-26,2024-09-05,N,NA,NA
76,The Village Of Humber Heights - 2nd Fl,2245 Lawrence Ave W,Retirement Home,Respiratory,COVID-19,None,2024-08-26,2024-09-06,N,NA,NA
77,Mon Sheong - 4th Fl South,2030 McNicoll Ave,LTCH,Respiratory,Parainfluenza,None,2024-08-25,2024-09-02,N,NA,NA
78,North York General Hospital - 5 South East,4001 Leslie St,Hospital-Acute Care,Respiratory,COVID-19,None,2024-08-24,2024-08-30,N,NA,NA
79,Centre for Addiction and Mental Health - Unit 1-2,1001 Queen St W,Hospital-Psychiatric,Respiratory,COVID-19,None,2024-08-23,2024-08-31,N,NA,NA
80,Centre for Addiction and Mental Health - Unit 1-4,1001 Queen St W,Hospital-Psychiatric,Respiratory,COVID-19,None,2024-08-23,2024-08-30,N,NA,NA
81,Cummer Lodge - 3 South,205 Cummer Ave,LTCH,Respiratory,COVID-19,None,2024-08-23,2024-09-05,N,NA,NA
82,TEHN - Michael Garron Hospital - T5,825 Coxwell Ave,Hospital-Acute Care,Respiratory,COVID-19,None,2024-08-22,2024-08-31,N,NA,NA
83,Norfinch Care Community - 2nd Fl - 2A & 2B,22 Norfinch Dr,LTCH,Respiratory,COVID-19,None,2024-08-21,2024-09-11,N,NA,NA
84,Humber Meadows Long-Term Care Home - 3rd Fl (South),2109 Finch Ave W,LTCH,Respiratory,COVID-19,None,2024-08-20,2024-08-27,N,NA,NA
85,Pine Villa - Transitional Care,1035 Eglinton Ave W,Hospital-Chronic Care,Respiratory,COVID-19,None,2024-08-20,2024-09-06,N,NA,NA
86,Amica Bayview Village - 2nd Fl,15 Barberry Pl,Retirement Home,Respiratory,COVID-19,None,2024-08-19,2024-08-28,N,NA,NA
87,"Craiglee Nursing Home - 2 East, 2 West & 3 West",102 Craiglee Dr,LTCH,Respiratory,COVID-19,None,2024-08-19,2024-09-04,N,NA,NA
88,Extendicare Guildwood - East Spur 2,60 Guildwood Pky,LTCH,Respiratory,Enterovirus,None,2024-08-19,2024-08-27,N,NA,NA
89,Harold And Grace Baker Centre - C-Wing,1 Northwestern Ave,LTCH,Respiratory,Parainfluenza,None,2024-08-19,2024-08-28,N,NA,NA
90,The Briton House - North & South Tower,720 Mt. Pleasant Rd,Retirement Home,Respiratory,COVID-19,None,2024-08-19,2024-09-03,N,NA,NA
91,The Wexford - 6th Fl,1860 Lawrence Ave E,LTCH,Respiratory,COVID-19,None,2024-08-19,2024-09-10,N,NA,NA
92,Unity Health Toronto - Providence Healthcare Centre - B4,3276 St. Clair Ave E,Hospital-Chronic Care,Respiratory,COVID-19,None,2024-08-19,2024-08-27,N,NA,NA
93,Aspria Kensington Place Retirement Living,866 Sheppard Ave W,Retirement Home,Respiratory,COVID-19,None,2024-08-18,2024-09-05,N,NA,NA
94,Kipling Acres - 3rd Fl (Alder Unit),2233 Kipling Ave,LTCH,Respiratory,COVID-19,None,2024-08-18,2024-08-30,N,NA,NA
95,Fountain View Care Community - 1A Terrace,1800 O'Connor Dr,LTCH,Respiratory,Unable to identify,None,2024-08-16,2024-08-24,N,NA,NA
96,Kensington Gardens North Building - 3rd Fl (West Side),45 Brunswick Ave,LTCH,Respiratory,Unable to identify,None,2024-08-16,2024-08-26,N,NA,NA
97,North York General Hospital - Seniors' Health Centre - 2nd Floor,2 Buchan Crt,LTCH,Respiratory,COVID-19,None,2024-08-16,2024-08-24,N,NA,NA
98,Yee Hong Centre Finch - 2nd Fl (North & South),60 Scottfield Dr,LTCH,Respiratory,COVID-19,None,2024-08-16,2024-09-03,N,NA,NA
99,Scarborough Retirement Residence,148 Markham Rd,Retirement Home,Respiratory,COVID-19,None,2024-08-15,2024-09-03,N,NA,NA
100,Humber Meadows - 5th Fl (South Wing),2109 Finch Ave W,LTCH,Respiratory,Rhinovirus,None,2024-08-14,2024-08-23,N,NA,NA
101,North Park Nursing Home - 1st Fl,450 Rustic Rd,LTCH,Respiratory,Parainfluenza,None,2024-08-14,2024-08-28,N,NA,NA
102,Age Care Trilogy - 4th Fl,340 McCowan Rd,LTCH,Respiratory,Unable to identify,None,2024-08-13,2024-08-26,N,NA,NA
103,Cheltenham Care Community - 1st Fl,5935 Bathurst St,LTCH,Respiratory,COVID-19,None,2024-08-13,2024-08-21,N,NA,NA
104,Humber River Health - Wilson Site - 5E,1235 Wilson Ave,Hospital-Acute Care,Respiratory,COVID-19,None,2024-08-13,2024-08-26,N,NA,NA
105,Forest Hill Place,645 Castlefield Ave,Retirement Home,Respiratory,COVID-19,None,2024-08-12,2024-08-26,N,NA,NA
106,Fountain View Care Community - 3A (Woodlands),1800 O'Connor Dr,LTCH,Respiratory,COVID-19,None,2024-08-12,2024-08-21,N,NA,NA
107,"Gibson Long-Term Care Residence - 2nd, 3rd & 4th Fl",1925 Steeles Ave E,LTCH,Respiratory,COVID-19,None,2024-08-12,2024-09-04,N,NA,NA
108,Norfinch Care Community - 3A,22 Norfinch Dr,LTCH,Respiratory,Rhinovirus,None,2024-08-12,2024-08-18,N,NA,NA
109,North York General Hospital - Branson Site - RCC - 4 & 5,555 Finch Ave W,Hospital-Chronic Care,Respiratory,COVID-19,None,2024-08-12,2024-08-24,N,NA,NA
110,True Davidson Acres LTCH - 3rd Fl,200 Dawes Rd,LTCH,Respiratory,COVID-19,None,2024-08-11,2024-09-03,N,NA,NA
111,Wesburn Manor - 4N,400 The West Mall,LTCH,Respiratory,COVID-19,None,2024-08-10,2024-08-28,N,NA,NA
112,Alexis Lodge Retirement Residence - Main & Upper Fl,707 Ellesmere Rd,Retirement Home,Respiratory,COVID-19,None,2024-08-09,2024-08-19,N,NA,NA
113,Copernicus Lodge - 2 North,66 Roncesvalles Ave,LTCH,Respiratory,COVID-19,None,2024-08-09,2024-09-02,N,NA,NA
114,Donway Place - 1st Fl,8 The Donway,Retirement Home,Respiratory,COVID-19,None,2024-08-09,2024-08-26,N,NA,NA
115,Qeens Estate Retirement Residence - 4th Fl,265 Queens Dr,Retirement Home,Respiratory,COVID-19,None,2024-08-08,2024-08-19,N,NA,NA
116,RCC Finch Site - Markham Stouville Hospital - 6E,2111 Finch Ave W,Hospital-Chronic Care,Respiratory,COVID-19,None,2024-08-08,2024-08-18,N,NA,NA
117,The Millwood - 4th Fl,921 Millwood Rd,Retirement Home,Respiratory,Respiratory syncytial virus,None,2024-08-08,2024-08-17,N,NA,NA
118,Fudger House - 3W,439 Sherbourne St,LTCH,Respiratory,COVID-19,None,2024-08-07,2024-08-19,N,NA,NA
119,Hellenic Home - Ground Fl,2411 Lawrence Ave E,LTCH,Respiratory,Rhinovirus,None,2024-08-07,2024-08-18,N,NA,NA
120,The Wexford - 4th Fl,1860 Lawrence Ave E,LTCH,Respiratory,Unable to identify,None,2024-08-07,2024-08-15,N,NA,NA
121,Delmanor Wynford - 4th Fl,187 Wynford Dr,Retirement Home,Respiratory,COVID-19,None,2024-08-06,2024-08-14,N,NA,NA
122,Humber Meadows LTCH - Aster (2S),2109 Finch Ave W,LTCH,Respiratory,COVID-19,None,2024-08-06,2024-08-13,N,NA,NA
123,Shepherd Lodge - 2S,3760 Sheppard Ave E,LTCH,Respiratory,Rhinovirus,None,2024-08-06,2024-08-12,N,NA,NA
124,Rayoak Place - 1st Fl,1340 York Mills Rd,Retirement Home,Respiratory,COVID-19,None,2024-08-05,2024-08-14,N,NA,NA
125,Villa Colombo Homes For The Aged - 1st Fl (Fidani Unit),40 Playfiar Ave,LTCH,Respiratory,COVID-19,None,2024-08-03,2024-08-17,N,NA,NA
126,Unity Health Toronto - Houses Of Providence - Hop 3 East (Cedar),3276 St. Clair Ave E,LTCH,Respiratory,COVID-19,Rhinovirus,2024-08-02,2024-08-13,N,NA,NA
127,Weston Terrace Care Community - 1A,2005 Lawrence Ave W,LTCH,Respiratory,COVID-19,None,2024-08-02,2024-08-12,N,NA,NA
128,Chartwell Guildwood Retirement Residence - 2nd Fl (Dementia Unit),65 Livingstone Rd,Retirement Home,Respiratory,COVID-19,None,2024-08-01,2024-08-09,N,NA,NA
129,William Osler Health System - Etobicoke General Hospital - 8W Surgical Unit,101 Humber College Blvd,Hospital-Acute Care,Respiratory,COVID-19,None,2024-08-01,2024-08-09,N,NA,NA
130,Unity Health Toronto - Houses Of Providence - Hop 3W (Poplar & Walnut),3276 St. Clair Ave E,LTCH,Respiratory,COVID-19,None,2024-07-31,2024-08-13,N,NA,NA
131,Dom Lipa - 1st Fl (K Wing) & 2nd Fl,52 Neilson Dr,LTCH,Respiratory,COVID-19,None,2024-07-30,2024-08-15,N,NA,NA
132,Ehatare Nursing Home - 4th Fl,40 Old Kingston Rd,LTCH,Respiratory,Unable to identify,None,2024-07-30,2024-08-08,N,NA,NA
133,Cedarbrook Lodge Retirement Residence - 2nd Fl,520 Markham Rd,Retirement Home,Respiratory,COVID-19,None,2024-07-29,2024-08-17,N,NA,NA
134,Gibson Long-Term Care Residence - 3rd Fl,1925 Steeles Ave E,LTCH,Respiratory,Rhinovirus,None,2024-07-29,2024-08-08,N,NA,NA
135,RCC - Church Site - St. Joseph's Health Centre - 4B,200 Church St,Hospital-Chronic Care,Respiratory,COVID-19,None,2024-07-29,2024-08-09,N,NA,NA
136,Westside - 4th Fl,1145 Albion Rd,LTCH,Respiratory,Unable to identify,None,2024-07-29,2024-08-06,N,NA,NA
137,The Heritage Nursing Home - 2nd Fl,1195 Queen St E,LTCH,Respiratory,COVID-19,None,2024-07-28,2024-08-08,N,NA,NA
138,Kipling Acres - 2nd Fl (Elms),2233 Kipling Ave,LTCH,Respiratory,Rhinovirus,None,2024-07-27,2024-08-05,N,NA,NA
139,Gibson Long-Term Care Residence - 1st & 2nd Fl,1925 Steeles Ave E,LTCH,Respiratory,COVID-19,None,2024-07-26,2024-08-12,N,NA,NA
140,Labdara Lithuanian Nursing Home - 1st Fl (South),5 Resurrection Dr,LTCH,Respiratory,COVID-19,None,2024-07-26,2024-08-11,N,NA,NA
141,UHN - Toronto General Hospital - 6ES,200 Elizabeth St,Hospital-Acute Care,Respiratory,Parainfluenza PIV III,None,2024-07-26,2024-08-10,N,NA,NA
142,Age Care Trilogy - 2nd Fl,340 McCowan Rd,LTCH,Respiratory,Unable to identify,None,2024-07-24,2024-07-29,N,NA,NA
143,Better Living At Thompson House - 3rd Fl & 4th Fl (North),1 Overland Dr,LTCH,Respiratory,COVID-19,None,2024-07-24,2024-08-09,N,NA,NA
144,TEHN - Atrium At Kew Beach (A MGH Affiliated Unit) - 3E,500 Kingston Rd,Hospital-Chronic Care,Respiratory,COVID-19,None,2024-07-24,2024-07-31,N,NA,NA
145,Centre For Addiction And Mental Health - Unit 1-3,1001 Queen St W,Hospital-Psychiatric,Respiratory,COVID-19,None,2024-07-23,2024-08-03,N,NA,NA
146,The O'Neill Centre - 2nd Fl,33 Christie St,LTCH,Respiratory,COVID-19,None,2024-07-23,2024-08-12,N,NA,NA
147,"Delmanor Prince Edward - 3rd, 5th & 8th Fl",4180 Dundas St W,Retirement Home,Respiratory,COVID-19,None,2024-07-22,2024-07-24,N,NA,NA
148,Hellenic Care For Seniors,215 Tyrrel Ave,LTCH,Respiratory,Rhinovirus,None,2024-07-22,2024-08-14,N,NA,NA
149,St. George Care Community - 2nd Fl,225 St. George St,LTCH,Respiratory,COVID-19,None,2024-07-22,2024-07-30,N,NA,NA
150,Yee Hong Centre Scarborough - 3F,2311 McNicoll Ave,LTCH,Respiratory,COVID-19,None,2024-07-22,2024-08-01,N,NA,NA
151,Mon Sheong Home For The Aged - 2nd & 3rd Fl,36 D'Arcy St,LTCH,Respiratory,COVID-19,None,2024-07-20,2024-08-07,N,NA,NA
152,Sunnybrook Health Sciences Centre - D2,2075 Bayview Ave,Hospital-Acute Care,Respiratory,COVID-19,None,2024-07-20,2024-07-28,N,NA,NA
153,Fountain View Community - Lakeside 2B,1800 O'Connor Dr,LTCH,Respiratory,COVID-19,None,2024-07-19,2024-07-26,N,NA,NA
154,Seven Oaks - 3rd Fl,9 Neilson Rd,LTCH,Respiratory,COVID-19,None,2024-07-19,2024-07-31,N,NA,NA
155,TEHN - Michael Garron Hospital - B3,825 Coxwell Ave,Hospital-Acute Care,Respiratory,COVID-19,None,2024-07-19,2024-07-26,N,NA,NA
156,Midland Gardens Care Community,130 Midland Ave,LTCH,Respiratory,COVID-19,None,2024-07-18,2024-08-19,N,NA,NA
157,St. George Care Community - 4th Fl,225 St. George St,LTCH,Respiratory,Parainfluenza,None,2024-07-18,2024-08-07,N,NA,NA
158,The Village Of Humber Heights - Brule Neighbourhood,2245 Lawrence Ave W,LTCH,Respiratory,Parainfluenza,None,2024-07-18,2024-07-29,N,NA,NA
159,Mon Sheong Scarborough - 2nd Fl South & 2nd Fl North,2030 McNicoll Ave,LTCH,Respiratory,COVID-19,None,2024-07-16,2024-07-31,N,NA,NA
160,Sunnybrook Health Science - C4,2075 Bayview Ave,Hospital-Acute Care,Respiratory,COVID-19,None,2024-07-16,2024-07-27,N,NA,NA
161,Sunnybrook Health Science - K3CA,2075 Bayview Ave,Hospital-Acute Care,Other,CPE Colonization E. coli (NDM/OXA-48),"CPE Colonization E. coli (NDM), CPE Infection E.coli (NDM/OXA-48), CPE Infection E. coli (OXA-48), VRE",2024-07-16,2024-09-11,N,NA,NA
162,The Russell Hill Retirement Residence,262 St. Clair Ave W,Retirement Home,Respiratory,COVID-19,None,2024-07-16,2024-07-24,N,NA,NA
163,Baycrest Apotex Centre - Jewish Home For The Aged - 6EI,3560 Bathurst St,LTCH,Respiratory,COVID-19,None,2024-07-15,2024-08-10,N,NA,NA
164,Belmont House - 5 Walker Wing,55 Belmont St,LTCH,Respiratory,COVID-19,None,2024-07-15,2024-07-22,N,NA,NA
165,Lakeshore Lodge - 4th Fl,3197 Lakeshore Blvd W,LTCH,Respiratory,COVID-19,None,2024-07-15,2024-07-23,N,NA,NA
166,Leaside Retirement Residence - 2nd Fl (Memory Care Unit),10 William Morgan Dr,Retirement Home,Enteric,Unable to identify,None,2024-07-15,2024-07-22,N,NA,NA
167,Yee Hong Centre -Mcnicoll - 5th Fl,2311 McNicoll Ave,LTCH,Respiratory,Parainfluenza,None,2024-07-14,2024-07-26,N,NA,NA
168,Hawthorne Place Care Centre - Lily Way - 3rd Fl,2025 Finch Ave W,LTCH,Respiratory,COVID-19,None,2024-07-12,2024-07-22,N,NA,NA
169,One Keton Place  - 4th Fl,1 Kenton Pl,Retirement Home,Respiratory,COVID-19,None,2024-07-12,2024-07-18,N,NA,NA
170,UHN - Toronto General Hospital - 7MA/B,200 Elizabeth St,Hospital-Acute Care,Respiratory,Metapneumovirus,None,2024-07-12,2024-07-16,N,NA,NA
171,"Cummer Lodge - 2N, 2S & 4N",305 Cummer Ave,LTCH,Respiratory,Rhinovirus,None,2024-07-11,2024-08-04,N,NA,NA
172,"Villa Colombo (Ltch) - 3rd & 4th (Fidani), 2nd, 3rd & 4th (Fusco)",40 Playfair Ave,LTCH,Enteric,Norovirus,None,2024-07-11,2024-07-29,N,NA,NA
173,Westside Long Term Care - 3rd Fl,1145 Albion Rd,LTCH,Respiratory,Parainfluenza,None,2024-07-11,2024-07-30,N,NA,NA
174,Baycrest Apotex Centre - Jewish Home For The Aged - 2RF,3560 Bathurst St,LTCH,Respiratory,COVID-19,None,2024-07-10,2024-07-19,N,NA,NA
175,Trillium Health Partners - Mccall Centre For Continuing Care - 3rd Fl,140 Sherway Dr,Hospital-Chronic Care,Respiratory,Rhinovirus,None,2024-07-09,2024-07-16,N,NA,NA
176,Westpark Long Term Care Centre - Humber/York,150 Emmett Ave,LTCH,Respiratory,COVID-19,None,2024-07-09,2024-07-29,N,NA,NA
177,Baycrest Apotex Centre - Jewish Home For The Aged - 7EI,3560 Bathurst St,LTCH,Respiratory,COVID-19,None,2024-07-08,2024-07-18,N,NA,NA
178,"Don Mills Retirement Residence - 3rd, 5th & 7th Fl",2 Green Belt Dr,Retirement Home,Respiratory,COVID-19,None,2024-07-08,2024-08-08,N,NA,NA
179,Extendicare Rouge Valley - Moorish Unit - 3rd Fl S,551 Collins Rd,LTCH,Respiratory,Rhinovirus,None,2024-07-08,2024-07-22,N,NA,NA
180,Kipling Acres Long-Term Care Home - Highfield,2233 Kipling Ave,LTCH,Respiratory,Influenza A (Not subtyped),None,2024-07-08,2024-07-17,N,NA,NA
