causative_agent,date_of_outbreak
COVID-19,2024_begin
Metapneumovirus,2024_begin
Parainfluenza,2024_begin
Metapneumovirus,2024_begin
Norovirus,2024_begin
Influenza A (Not subtyped),2024_begin
COVID-19,2024_begin
Rhinovirus,2024_begin
COVID-19,2024_begin
Metapneumovirus,2024_begin
COVID-19,2024_begin
Coronavirus*,2024_begin
Parainfluenza,2024_begin
Unable to identify,2024_begin
COVID-19,2024_begin
Unable to identify,2024_begin
Norovirus,2024_begin
Metapneumovirus,2024_begin
Unable to identify,2024_begin
Metapneumovirus,2024_begin
Unable to identify,2024_begin
COVID-19,2024_begin
Norovirus,2024_begin
Respiratory syncytial virus,2024_begin
Influenza A (H1N1),2024_begin
Unable to identify,2024_begin
Coronavirus*,2024_begin
Influenza B,2024_begin
Unable to identify,2024_begin
COVID-19,2024_begin
COVID-19,2024_begin
Unable to identify,2024_begin
Rhinovirus,2024_begin
Parainfluenza,2024_begin
COVID-19,2024_begin
COVID-19,2024_begin
COVID-19,2024_begin
COVID-19,2024_begin
Parainfluenza,2024_begin
Metapneumovirus,2024_begin
COVID-19,2024_begin
Unable to identify,2024_begin
Influenza B,2024_begin
Metapneumovirus,2024_begin
Influenza A (Not subtyped),2024_begin
Unable to identify,2024_begin
Parainfluenza,2024_begin
COVID-19,2024_begin
COVID-19,2024_begin
COVID-19,2024_begin
Coronavirus*,2024_begin
Unable to identify,2024_begin
Metapneumovirus,2024_begin
COVID-19,2024_begin
Norovirus,2024_begin
Parainfluenza,2024_begin
Metapneumovirus,2024_begin
Norovirus,2024_begin
Influenza A (H1),2024_begin
Metapneumovirus,2024_begin
Unable to identify,2024_begin
Unable to identify,2024_begin
COVID-19,2024_begin
Parainfluenza,2024_begin
Norovirus,2024_begin
Metapneumovirus,2024_begin
Coronavirus*,2024_begin
Influenza A (Not subtyped),2024_begin
COVID-19,2024_begin
Respiratory syncytial virus,2024_begin
Norovirus,2024_begin
Metapneumovirus,2024_begin
Influenza A (Not subtyped),2024_begin
COVID-19,2024_begin
COVID-19,2024_begin
Unable to identify,2024_begin
Coronavirus*,2024_begin
Unable to identify,2024_begin
COVID-19,2024_begin
Influenza B,2024_begin
Parainfluenza,2024_begin
Norovirus,2024_begin
Parainfluenza,2024_begin
COVID-19,2024_begin
COVID-19,2024_begin
Metapneumovirus,2024_begin
Coronavirus*,2024_begin
Parainfluenza,2024_begin
Influenza A (H1),2024_begin
Metapneumovirus,2024_begin
COVID-19,2024_begin
Unable to identify,2024_begin
COVID-19,2024_begin
Coronavirus*,2024_begin
COVID-19,2024_begin
Norovirus,2024_begin
COVID-19,2024_begin
Coronavirus*,2024_begin
Influenza A (Not subtyped),2024_begin
Coronavirus*,2024_begin
Influenza A (Not subtyped),2024_begin
Respiratory syncytial virus,2024_begin
Metapneumovirus,2024_begin
Unable to identify,2024_begin
COVID-19,2024_begin
Metapneumovirus,2024_begin
Norovirus,2024_begin
Unable to identify,2024_begin
Parainfluenza,2024_begin
Respiratory syncytial virus,2024_begin
COVID-19,2024_begin
Coronavirus*,2024_begin
COVID-19,2024_begin
Influenza A (Not subtyped),2024_begin
Respiratory syncytial virus,2024_begin
Norovirus,2024_begin
Parainfluenza,2024_begin
COVID-19,2024_begin
Influenza A (Not subtyped),2024_begin
Coronavirus*,2024_begin
Unable to identify,2024_begin
COVID-19,2024_begin
Coronavirus*,2024_begin
Parainfluenza,2024_begin
Coronavirus*,2024_begin
Norovirus,2024_begin
Influenza A (Not subtyped),2024_begin
Metapneumovirus,2024_begin
COVID-19,2024_begin
COVID-19,2024_begin
Unable to identify,2024_begin
COVID-19,2024_begin
COVID-19,2024_begin
Unable to identify,2024_begin
COVID-19,2024_begin
Parainfluenza,2024_begin
Norovirus,2024_begin
Influenza A (Not subtyped),2024_begin
COVID-19,2024_begin
Coronavirus*,2024_begin
COVID-19,2024_begin
COVID-19,2024_begin
Coronavirus*,2024_begin
Unable to identify,2024_begin
Respiratory syncytial virus,2024_begin
Rhinovirus,2024_begin
COVID-19,2024_begin
Unable to identify,2024_begin
Coronavirus*,2024_begin
Influenza A (Not subtyped),2024_begin
COVID-19,2024_begin
Metapneumovirus,2024_begin
COVID-19,2024_begin
Respiratory syncytial virus,2024_begin
COVID-19,2024_begin
Influenza A (Not subtyped),2024_begin
Respiratory syncytial virus,2024_begin
COVID-19,2024_begin
Coronavirus*,2024_begin
Influenza A (H1N1),2024_begin
COVID-19,2024_begin
COVID-19,2024_begin
COVID-19,2024_begin
COVID-19,2024_begin
Coronavirus*,2024_begin
Unable to identify,2024_begin
Coronavirus*,2024_begin
COVID-19,2024_begin
COVID-19,2024_begin
Coronavirus*,2024_begin
COVID-19,2024_begin
Coronavirus*,2024_begin
Influenza A (Not subtyped),2024_begin
Norovirus,2024_begin
COVID-19,2024_begin
Unable to identify,2024_begin
Respiratory syncytial virus,2024_begin
Influenza A (Not subtyped),2024_begin
Influenza A (Not subtyped),2024_begin
Influenza A (Not subtyped),2024_begin
Norovirus,2024_begin
Unable to identify,2024_begin
Influenza A (Not subtyped),2024_begin
Norovirus,2024_begin
Influenza A (Not subtyped),2024_begin
COVID-19,2024_begin
COVID-19,2024_begin
Coronavirus*,2024_begin
Influenza A (Not subtyped),2024_begin
COVID-19,2024_begin
COVID-19,2024_begin
Influenza A (Not subtyped),2024_begin
COVID-19,2024_begin
COVID-19,2024_begin
COVID-19,2024_begin
COVID-19,2024_begin
Influenza A (Not subtyped),2024_begin
COVID-19,2024_begin
COVID-19,2024_begin
Respiratory syncytial virus,2024_begin
Influenza A (Not subtyped),2024_begin
Influenza A (Not subtyped),2024_begin
COVID-19,2024_begin
Coronavirus*,2024_begin
COVID-19,2024_begin
Influenza A (Not subtyped),2024_begin
Influenza A (Not subtyped),2024_begin
COVID-19,2024_begin
Unable to identify,2024_begin
COVID-19,2024_begin
COVID-19,2024_begin
COVID-19,2024_begin
Influenza A (H1),2024_begin
Influenza A (Not subtyped),2024_begin
Influenza A (Not subtyped),2024_begin
COVID-19,2024_begin
COVID-19,2024_begin
COVID-19,2024_begin
Unable to identify,2024_begin
Coronavirus*,2024_begin
Salmonella Kentucky,2024_begin
COVID-19,2024_begin
COVID-19,2024_begin
Influenza A (Not subtyped),2024_begin
COVID-19,2024_begin
COVID-19,2024_begin
Influenza A (H1N1),2024_begin
Influenza A (Not subtyped),2024_begin
Influenza A (H1),2024_begin
COVID-19,2024_begin
COVID-19,2024_begin
COVID-19,2024_begin
COVID-19,2024_begin
COVID-19,2024_begin
COVID-19,2024_begin
COVID-19,2024_begin
COVID-19,2024_begin
COVID-19,2024_begin
Enterovirus/ Rhinovirus,2024_begin
COVID-19,2024_begin
COVID-19,2024_begin
COVID-19,2024_begin
COVID-19,2024_begin
Norovirus,2024_begin
Unable to identify,2024_begin
Influenza A (Not subtyped),2024_begin
Respiratory syncytial virus,2024_begin
COVID-19,2024_begin
Influenza A (H1),2024_begin
COVID-19,2024_begin
COVID-19,2024_begin
Influenza A (Not subtyped),2024_begin
COVID-19,2024_begin
COVID-19,2024_begin
COVID-19,2024_begin
COVID-19,2024_begin
Metapneumovirus,2024_begin
Influenza A (Not subtyped),2024_begin
Influenza A (H3),2024_begin
Unable to identify,2024_begin
COVID-19,2024_begin
Unable to identify,2024_begin
Norovirus,2024_begin
COVID-19,2024_begin
COVID-19,2024_begin
Respiratory syncytial virus,2024_begin
COVID-19,2024_begin
COVID-19,2024_begin
Respiratory syncytial virus,2024_begin
COVID-19,2024_begin
Influenza A (Not subtyped),2024_begin
Influenza A (Not subtyped),2024_begin
COVID-19,2024_begin
COVID-19,2024_begin
Unable to identify,2024_begin
Influenza A (Not subtyped),2024_begin
Influenza A (Not subtyped),2024_begin
COVID-19,2024_begin
Coronavirus*,2024_begin
Respiratory syncytial virus,2024_begin
COVID-19,2024_begin
COVID-19,2024_begin
COVID-19,2024_begin
Influenza A (Not subtyped),2024_begin
Respiratory syncytial virus,2024_begin
COVID-19,2024_begin
COVID-19,2024_begin
Influenza A (Not subtyped),2024_begin
COVID-19,2024_begin
COVID-19,2024_begin
Parainfluenza,2024_begin
COVID-19,2024_begin
COVID-19,2024_begin
Influenza A (Not subtyped),2024_begin
Influenza A (Not subtyped),2024_begin
Respiratory syncytial virus,2024_begin
COVID-19,2024_begin
Coronavirus*,2024_begin
Respiratory syncytial virus,2024_begin
Influenza A (Not subtyped),2024_begin
COVID-19,2024_begin
COVID-19,2024_begin
Influenza A (Not subtyped),2024_begin
COVID-19,2024_begin
COVID-19,2024_begin
Respiratory syncytial virus,2024_begin
COVID-19,2024_begin
COVID-19,2024_begin
Unable to identify,2024_begin
COVID-19,2024_begin
Norovirus,2024_begin
COVID-19,2024_begin
COVID-19,2024_begin
COVID-19,2024_begin
COVID-19,2024_begin
COVID-19,2024_begin
Influenza A (Not subtyped),2024_begin
Respiratory syncytial virus,2024_begin
Influenza A (Not subtyped),2024_begin
COVID-19,2024_begin
COVID-19,2024_begin
COVID-19,2024_begin
Unable to identify,2024_begin
COVID-19,2024_begin
Influenza A (Not subtyped),2024_begin
COVID-19,2024_begin
COVID-19,2024_begin
COVID-19,2024_begin
COVID-19,2024_begin
COVID-19,2024_begin
COVID-19,2024_begin
COVID-19,2024_begin
COVID-19,2024_begin
Influenza A (Not subtyped),2024_begin
COVID-19,2024_begin
COVID-19,2024_begin
COVID-19,2024_begin
COVID-19,2024_begin
COVID-19,2024_begin
COVID-19,2024_begin
COVID-19,2024_begin
Clostridium difficile,2024_begin
COVID-19,2024_begin
COVID-19,2023_end
COVID-19,2023_end
COVID-19,2023_end
Parainfluenza,2023_end
COVID-19,2023_end
COVID-19,2023_end
Respiratory syncytial virus,2023_end
Respiratory syncytial virus,2023_end
Respiratory syncytial virus,2023_end
Respiratory syncytial virus,2023_end
Coronavirus*,2023_end
Metapneumovirus,2023_end
COVID-19,2023_end
Influenza A (Not subtyped),2023_end
Respiratory syncytial virus,2023_end
Influenza A (Not subtyped),2023_end
COVID-19,2023_end
COVID-19,2023_end
COVID-19,2023_end
COVID-19,2023_end
COVID-19,2023_end
Norovirus,2023_end
Coronavirus*,2023_end
COVID-19,2023_end
COVID-19,2023_end
COVID-19,2023_end
Influenza A (Not subtyped),2023_end
COVID-19,2023_end
COVID-19,2023_end
COVID-19,2023_end
COVID-19,2023_end
Metapneumovirus,2023_end
COVID-19,2023_end
Unable to identify,2023_end
COVID-19,2023_end
COVID-19,2023_end
COVID-19,2023_end
Influenza A (Not subtyped),2023_end
COVID-19,2023_end
Influenza A (Not subtyped),2023_end
COVID-19,2023_end
Unable to identify,2023_end
COVID-19,2023_end
COVID-19,2023_end
COVID-19,2023_end
COVID-19,2023_end
COVID-19,2023_end
COVID-19,2023_end
Metapneumovirus,2023_end
COVID-19,2023_end
Norovirus,2023_end
COVID-19,2023_end
Influenza A (Not subtyped),2023_end
COVID-19,2023_end
Respiratory syncytial virus,2023_end
COVID-19,2023_end
COVID-19,2023_end
COVID-19,2023_end
Influenza A (Not subtyped),2023_end
COVID-19,2023_end
Unable to identify,2023_end
COVID-19,2023_end
Influenza A (Not subtyped),2023_end
COVID-19,2023_end
COVID-19,2023_end
COVID-19,2023_end
COVID-19,2023_end
COVID-19,2023_end
COVID-19,2023_end
COVID-19,2023_end
COVID-19,2023_end
COVID-19,2023_end
COVID-19,2023_end
Influenza A (Not subtyped),2023_end
COVID-19,2023_end
COVID-19,2023_end
Influenza A (Not subtyped),2023_end
COVID-19,2023_end
COVID-19,2023_end
COVID-19,2023_end
COVID-19,2023_end
COVID-19,2023_end
COVID-19,2023_end
COVID-19,2023_end
COVID-19,2023_end
COVID-19,2023_end
COVID-19,2023_end
COVID-19,2023_end
COVID-19,2023_end
COVID-19,2023_end
COVID-19,2023_end
COVID-19,2023_end
COVID-19,2023_end
COVID-19,2023_end
Unable to identify,2023_end
COVID-19,2023_end
COVID-19,2023_end
COVID-19,2023_end
COVID-19,2023_end
COVID-19,2023_end
COVID-19,2023_end
COVID-19,2023_end
COVID-19,2023_end
COVID-19,2023_end
COVID-19,2023_end
COVID-19,2023_end
Influenza A (Not subtyped),2023_end
Influenza A (Not subtyped),2023_end
COVID-19,2023_end
COVID-19,2023_end
Influenza A (Not subtyped),2023_end
COVID-19,2023_end
COVID-19,2023_end
COVID-19,2023_end
COVID-19,2023_end
COVID-19,2023_end
COVID-19,2023_end
COVID-19,2023_end
COVID-19,2023_end
COVID-19,2023_end
COVID-19,2023_end
Unable to identify,2023_end
Influenza A (Not subtyped),2023_end
COVID-19,2023_end
COVID-19,2023_end
COVID-19,2023_end
COVID-19,2023_end
Respiratory syncytial virus,2023_end
COVID-19,2023_end
COVID-19,2023_end
Influenza A (Not subtyped),2023_end
COVID-19,2023_end
COVID-19,2023_end
COVID-19,2023_end
COVID-19,2023_end
COVID-19,2023_end
COVID-19,2023_end
Respiratory syncytial virus,2023_end
COVID-19,2023_end
Respiratory syncytial virus,2023_end
COVID-19,2023_end
COVID-19,2023_end
Influenza A (H3),2023_end
COVID-19,2023_end
COVID-19,2023_end
COVID-19,2023_end
Influenza A (Not subtyped),2023_end
COVID-19,2023_end
COVID-19,2023_end
COVID-19,2023_end
COVID-19,2023_end
COVID-19,2023_end
COVID-19,2023_end
Unable to identify,2023_end
COVID-19,2023_end
Unable to identify,2023_end
COVID-19,2023_end
COVID-19,2023_end
COVID-19,2023_end
COVID-19,2023_end
COVID-19,2023_end
COVID-19,2023_end
COVID-19,2023_end
COVID-19,2023_end
COVID-19,2023_end
COVID-19,2023_end
COVID-19,2023_end
Influenza A (H3),2023_end
COVID-19,2023_end
COVID-19,2023_end
COVID-19,2023_end
Respiratory syncytial virus,2023_end
COVID-19,2023_end
COVID-19,2023_end
Rhinovirus,2023_end
COVID-19,2023_end
COVID-19,2023_end
COVID-19,2023_end
COVID-19,2023_end
COVID-19,2023_end
COVID-19,2023_end
COVID-19,2023_end
Unable to identify,2023_end
COVID-19,2023_end
COVID-19,2023_end
COVID-19,2023_end
COVID-19,2023_end
COVID-19,2023_end
COVID-19,2023_end
Influenza A (Not subtyped),2023_end
COVID-19,2023_end
COVID-19,2023_end
Influenza A (Not subtyped),2023_end
COVID-19,2023_end
COVID-19,2023_end
COVID-19,2023_end
COVID-19,2023_end
COVID-19,2023_end
COVID-19,2023_end
COVID-19,2023_end
COVID-19,2023_end
COVID-19,2023_end
Unable to identify,2023_end
COVID-19,2023_end
Coronavirus*,2023_end
COVID-19,2023_end
COVID-19,2023_end
COVID-19,2023_end
Unable to identify,2023_end
COVID-19,2023_end
COVID-19,2023_end
COVID-19,2023_end
COVID-19,2023_end
Respiratory syncytial virus,2023_end
COVID-19,2023_end
COVID-19,2023_end
Unable to identify,2023_end
COVID-19,2023_end
COVID-19,2023_end
COVID-19,2023_end
COVID-19,2023_end
COVID-19,2023_end
COVID-19,2023_end
COVID-19,2023_end
COVID-19,2023_end
COVID-19,2023_end
COVID-19,2023_end
COVID-19,2023_end
Parainfluenza,2023_end
COVID-19,2023_end
COVID-19,2023_end
COVID-19,2023_end
COVID-19,2023_end
COVID-19,2023_end
COVID-19,2023_end
COVID-19,2023_end
COVID-19,2023_end
COVID-19,2023_end
COVID-19,2023_end
COVID-19,2023_end
COVID-19,2023_end
COVID-19,2023_end
COVID-19,2023_end
COVID-19,2023_end
COVID-19,2023_end
COVID-19,2023_end
COVID-19,2023_end
COVID-19,2023_end
COVID-19,2023_end
COVID-19,2023_end
COVID-19,2023_end
COVID-19,2023_end
COVID-19,2023_end
COVID-19,2023_end
Respiratory syncytial virus,2023_end
COVID-19,2023_end
COVID-19,2023_end
COVID-19,2023_end
COVID-19,2023_end
Unable to identify,2023_end
COVID-19,2023_end
COVID-19,2023_end
COVID-19,2023_end
COVID-19,2023_end
COVID-19,2023_end
COVID-19,2023_end
Rhinovirus,2023_end
COVID-19,2023_end
COVID-19,2023_end
Unable to identify,2023_end
COVID-19,2023_end
COVID-19,2023_end
COVID-19,2023_end
COVID-19,2023_end
COVID-19,2023_end
COVID-19,2023_end
COVID-19,2023_end
COVID-19,2023_end
COVID-19,2023_end
COVID-19,2023_end
Influenza A (Not subtyped),2023_end
COVID-19,2023_end
COVID-19,2023_end
COVID-19,2023_end
Parainfluenza,2023_end
COVID-19,2023_end
COVID-19,2023_end
COVID-19,2023_end
COVID-19,2023_end
Parainfluenza,2023_end
Unable to identify,2023_end
COVID-19,2023_end
COVID-19,2023_end
Group B Streptococcal disease (neonatal),2023_end
COVID-19,2023_end
COVID-19,2023_end
COVID-19,2023_end
COVID-19,2023_end
COVID-19,2023_end
Unable to identify,2023_end
COVID-19,2023_end
COVID-19,2023_end
COVID-19,2023_end
COVID-19,2023_end
COVID-19,2023_end
COVID-19,2023_end
COVID-19,2023_end
COVID-19,2023_end
COVID-19,2023_end
COVID-19,2023_end
Influenza A (Not subtyped),2023_end
COVID-19,2023_end
COVID-19,2023_end
Parainfluenza,2023_end
COVID-19,2023_end
COVID-19,2023_end
COVID-19,2023_end
COVID-19,2023_end
COVID-19,2023_end
COVID-19,2023_end
Rhinovirus,2023_end
COVID-19,2023_end
COVID-19,2023_end
COVID-19,2023_end
COVID-19,2023_end
COVID-19,2023_end
COVID-19,2023_end
COVID-19,2023_end
COVID-19,2023_end
COVID-19,2023_end
COVID-19,2023_end
COVID-19,2023_end
COVID-19,2023_end
COVID-19,2023_end
COVID-19,2023_end
COVID-19,2023_end
COVID-19,2023_end
COVID-19,2023_end
COVID-19,2023_end
COVID-19,2023_end
COVID-19,2023_end
COVID-19,2023_end
COVID-19,2023_end
COVID-19,2023_end
Influenza A (H1N1),2023_end
COVID-19,2023_end
COVID-19,2023_end
COVID-19,2023_end
COVID-19,2023_end
COVID-19,2023_end
Respiratory syncytial virus,2023_end
COVID-19,2023_end
COVID-19,2023_end
Respiratory syncytial virus,2023_end
COVID-19,2023_end
COVID-19,2023_end
COVID-19,2023_end
COVID-19,2023_end
COVID-19,2023_end
COVID-19,2023_end
COVID-19,2023_end
Rhinovirus,2023_end
COVID-19,2023_end
COVID-19,2023_end
COVID-19,2023_end
COVID-19,2023_end
Rhinovirus,2023_end
Unable to identify,2023_end
COVID-19,2023_end
Rhinovirus,2023_end
COVID-19,2023_end
COVID-19,2023_end
COVID-19,2023_end
COVID-19,2023_end
COVID-19,2023_end
COVID-19,2023_end
COVID-19,2023_end
COVID-19,2023_end
Rhinovirus,2023_end
COVID-19,2023_end
COVID-19,2023_end
COVID-19,2023_end
COVID-19,2023_end
Rhinovirus,2023_end
COVID-19,2023_end
COVID-19,2023_end
COVID-19,2023_end
COVID-19,2023_end
COVID-19,2023_end
Rhinovirus,2023_end
COVID-19,2023_end
COVID-19,2023_end
COVID-19,2023_end
Rhinovirus,2023_end
COVID-19,2023_end
Rhinovirus,2023_end
COVID-19,2023_end
COVID-19,2023_end
Enterovirus/Rhinovirus,2023_end
COVID-19,2023_end
COVID-19,2023_end
COVID-19,2023_end
Norovirus,2023_end
COVID-19,2023_end
Parainfluenza,2023_end
Rhinovirus,2023_end
COVID-19,2023_end
COVID-19,2023_end
Unable to identify,2023_end
COVID-19,2023_end
COVID-19,2023_end
Unable to identify,2023_end
COVID-19,2023_end
COVID-19,2023_end
COVID-19,2023_end
Unable to identify,2023_end
Rhinovirus,2023_end
COVID-19,2023_end
Rhinovirus,2023_end
COVID-19,2023_end
COVID-19,2023_end
COVID-19,2023_end
COVID-19,2023_end
COVID-19,2023_end
Rhinovirus,2023_end
COVID-19,2023_end
COVID-19,2023_end
COVID-19,2023_end
COVID-19,2023_end
COVID-19,2023_end
COVID-19,2023_end
COVID-19,2023_end
COVID-19,2023_end
COVID-19,2023_end
Rhinovirus,2023_end
COVID-19,2023_end
COVID-19,2023_end
Parainfluenza,2023_end
COVID-19,2023_end
COVID-19,2023_end
COVID-19,2023_end
Unable to identify,2023_end
COVID-19,2023_end
COVID-19,2023_end
Enterovirus/Rhinovirus,2023_end
COVID-19,2023_end
Parainfluenza,2023_end
COVID-19,2023_end
COVID-19,2023_end
COVID-19,2023_end
COVID-19,2023_end
COVID-19,2023_end
Enterovirus/Rhinovirus,2023_end
COVID-19,2023_end
Rhinovirus,2023_end
COVID-19,2023_end
COVID-19,2023_end
Unable to identify,2023_end
COVID-19,2023_end
COVID-19,2023_end
COVID-19,2023_end
Unable to identify,2023_end
Rhinovirus,2023_end
COVID-19,2023_end
Enterovirus/Rhinovirus,2023_end
COVID-19,2023_end
COVID-19,2023_end
Unable to identify,2023_end
Coronavirus*,2023_end
COVID-19,2023_end
COVID-19,2023_end
COVID-19,2023_end
COVID-19,2023_end
Rhinovirus,2023_end
Rhinovirus,2023_end
Rhinovirus,2023_end
Rhinovirus,2023_end
COVID-19,2023_end
COVID-19,2023_end
COVID-19,2023_end
COVID-19,2023_end
COVID-19,2023_end
COVID-19,2023_end
COVID-19,2023_end
COVID-19,2023_end
COVID-19,2023_end
Rhinovirus,2023_end
COVID-19,2023_end
COVID-19,2023_end
COVID-19,2023_end
Rhinovirus,2023_end
Rhinovirus,2023_end
Rhinovirus,2023_end
Rhinovirus,2023_end
Rhinovirus,2023_end
COVID-19,2023_end
COVID-19,2023_end
Rhinovirus,2023_end
Rhinovirus,2023_end
Rhinovirus,2023_end
COVID-19,2023_end
Enterovirus/Rhinovirus,2023_end
COVID-19,2023_end
Unable to identify,2023_end
COVID-19,2023_end
COVID-19,2023_end
Unable to identify,2023_end
Rhinovirus,2023_end
COVID-19,2023_end
Rhinovirus,2023_end
COVID-19,2023_end
COVID-19,2023_end
COVID-19,2023_end
COVID-19,2023_end
Rhinovirus,2023_end
COVID-19,2023_end
Rhinovirus,2023_end
Rhinovirus,2023_end
COVID-19,2023_end
COVID-19,2023_end
COVID-19,2023_end
Rhinovirus,2023_end
COVID-19,2023_end
Rhinovirus,2023_end
COVID-19,2023_end
Unable to identify,2023_end
COVID-19,2023_end
Rhinovirus,2023_end
COVID-19,2023_end
Rhinovirus,2023_end
COVID-19,2023_end
Rhinovirus,2023_end
Rhinovirus,2023_end
COVID-19,2023_end
Unable to identify,2023_end
Unable to identify,2023_end
COVID-19,2023_end
COVID-19,2023_end
COVID-19,2023_end
COVID-19,2023_end
COVID-19,2023_end
Rhinovirus,2023_end
COVID-19,2023_end
Rhinovirus,2023_end
Parainfluenza,2023_end
Parainfluenza,2023_end
COVID-19,2023_end
Rhinovirus,2023_end
Enterovirus/Rhinovirus,2023_end
Rhinovirus,2023_end
Coronavirus*,2023_end
COVID-19,2023_end
Rhinovirus,2023_end
Unable to identify,2023_end
Rhinovirus,2023_end
COVID-19,2023_end
COVID-19,2023_end
Unable to identify,2023_end
Unable to identify,2023_end
Rhinovirus,2023_end
COVID-19,2023_end
COVID-19,2023_end
COVID-19,2023_end
Unable to identify,2023_end
COVID-19,2023_end
Metapneumovirus,2023_end
Unable to identify,2023_end
Rhinovirus,2023_end
COVID-19,2023_end
Rhinovirus,2023_end
Rhinovirus,2023_end
Unable to identify,2023_end
Respiratory syncytial virus,2023_end
Norovirus,2023_end
COVID-19,2023_end
Rhinovirus,2023_end
Rhinovirus,2023_end
COVID-19,2023_end
Unable to identify,2023_end
Rhinovirus,2023_end
Rhinovirus,2023_end
Parainfluenza,2023_end
Rhinovirus,2023_end
Rhinovirus,2023_end
COVID-19,2023_end
Rhinovirus,2023_end
COVID-19,2023_end
COVID-19,2023_end
Rhinovirus,2023_end
Enterovirus,2023_end
Rhinovirus,2023_end
COVID-19,2023_end
Rhinovirus,2023_end
COVID-19,2023_end
Enterovirus/Rhinovirus,2023_end
Metapneumovirus,2023_end
COVID-19,2023_end
Rhinovirus,2023_end
COVID-19,2023_end
Unable to identify,2023_end
COVID-19,2023_end
COVID-19,2023_end
COVID-19,2023_end
